,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Plaintiff Max Bid
13,2021-02-10,1280452,213137.62,145229,3.0,2.0,1090.0,0.0,242061.0,23,14,2019,1.0,2.0,1.0,175500.00
16,2021-02-10,1282591,13369.40,128824,4.0,3.0,1860.0,2054.0,215678.0,23,17,2020,1.0,2.0,0.0,13369.40
19,2021-02-10,1280196,171588.80,230826,0.0,1.0,438.0,0.0,282947.0,23,20,2020,1.0,4.0,0.0,173429.59
37,2021-02-08,1281247,1469908.96,1174289,3.0,2.0,1764.0,8234.0,1616441.0,15,11,2019,1.0,10.0,0.0,1481370.57
43,2021-02-03,1280965,764191.64,373137,3.0,3.0,2246.0,8082.02,573837.0,19,2,2017,0.0,4.0,0.0,451950.00
81,2021-01-20,1280968,19042.83,133384,1.0,1.0,1057.0,0.0,208386.0,37,37,2020,1.0,3.0,1.0,19042.83
88,2021-01-20,1280767,213729.18,246600,3.0,2.0,1520.0,0.0,423778.0,37,23,2019,1.0,3.0,1.0,213730.00
100,2021-01-20,1280966,10319.29,122000,1.0,1.0,730.0,0.0,157977.0,37,36,2020,1.0,1.0,1.0,10600.00
101,2021-01-20,1279554,1041834.1,492694,5.0,3.0,2268.0,15000.0,1085371.0,37,6,2014,0.0,2.0,6.0,799900.00
102,2021-01-20,1279554,1041834.1,492694,5.0,3.0,2268.0,15000.0,1085371.0,37,6,2014,0.0,2.0,6.0,799900.00
106,2021-01-20,1280966,10319.29,122000,1.0,1.0,730.0,0.0,157977.0,37,36,2020,1.0,1.0,1.0,10600.00
129,2021-01-19,1280269,179424.41,189527,3.0,2.0,1798.0,7929.0,311424.0,41,29,2019,0.0,6.0,1.0,194900.00
167,2021-01-13,1280854,31932.19,85437,3.0,2.0,1715.0,0.0,209838.0,38,26,2019,1.0,3.0,2.0,43811.96
179,2021-01-13,1279550,12750.3,100425,1.0,1.0,855.0,0.0,139211.0,38,37,2020,1.0,1.0,1.0,13454.87
180,2021-01-12,1278356,438129.47,85869,4.0,2.0,1789.0,6362.0,332859.0,41,21,2019,1.0,1.0,3.0,300000.00
182,2021-01-12,1279427,54218.33,322100,2.0,2.0,1622.0,0.0,457700.0,41,26,2019,1.0,1.0,1.0,56582.37
187,2021-01-12,1278198,35996.08,189746,3.0,2.0,1035.0,30100.0,300938.0,41,16,2018,0.0,3.0,5.0,56553.52
203,2021-01-12,1278348,65370.15,310800,1.0,1.0,852.0,0.0,381160.0,41,19,2018,1.0,1.0,2.0,69885.18
211,2021-01-12,1278876,12687.84,145625,2.0,2.0,1089.0,2520.0,256820.0,41,32,2019,1.0,1.0,1.0,12687.84
220,2021-01-11,1279099,147012.48,70786,2.0,2.0,1011.0,0.0,195921.0,59,41,2019,1.0,4.0,1.0,130000.00
234,2021-01-11,1272415,33546.37,33595,2.0,1.0,980.0,3675.0,217887.0,59,12,2017,0.0,1.0,4.0,50543.83
237,2021-01-11,1279820,105195.63,46313,2.0,1.0,1162.0,5500.0,258596.0,59,31,2019,0.0,4.0,1.0,108357.76
245,2021-01-11,1279822,16894.11,61554,2.0,1.0,718.0,0.0,111891.0,59,59,2020,1.0,1.0,1.0,16894.11
