,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Plaintiff Max Bid
13,2021-02-10,1280452,213137.62,145229,3.0,2.0,1090.0,242061.0,23,14,2019,2.0,1.0,175500.00
19,2021-02-10,1280196,171588.80,230826,0.0,1.0,438.0,282947.0,23,20,2020,4.0,0.0,173429.59
81,2021-01-20,1280968,19042.83,133384,1.0,1.0,1057.0,208386.0,37,37,2020,3.0,1.0,19042.83
88,2021-01-20,1280767,213729.18,246600,3.0,2.0,1520.0,423778.0,37,23,2019,3.0,1.0,213730.00
100,2021-01-20,1280966,10319.29,122000,1.0,1.0,730.0,157977.0,37,36,2020,1.0,1.0,10600.00
106,2021-01-20,1280966,10319.29,122000,1.0,1.0,730.0,157977.0,37,36,2020,1.0,1.0,10600.00
167,2021-01-13,1280854,31932.19,85437,3.0,2.0,1715.0,209838.0,38,26,2019,3.0,2.0,43811.96
179,2021-01-13,1279550,12750.3,100425,1.0,1.0,855.0,139211.0,38,37,2020,1.0,1.0,13454.87
182,2021-01-12,1279427,54218.33,322100,2.0,2.0,1622.0,457700.0,41,26,2019,1.0,1.0,56582.37
203,2021-01-12,1278348,65370.15,310800,1.0,1.0,852.0,381160.0,41,19,2018,1.0,2.0,69885.18
220,2021-01-11,1279099,147012.48,70786,2.0,2.0,1011.0,195921.0,59,41,2019,4.0,1.0,130000.00
245,2021-01-11,1279822,16894.11,61554,2.0,1.0,718.0,111891.0,59,59,2020,1.0,1.0,16894.11
281,2021-01-06,1274734,223590.69,197652,1.0,1.0,806.0,291608.0,75,56,2019,7.0,1.0,226617.49
349,2021-01-05,1279220,28264.5,68009,2.0,2.0,1130.0,136410.0,27,17,2019,1.0,2.0,28600.00
359,2021-01-04,1275472,142960.83,126600,2.0,2.0,861.0,164960.0,72,46,2019,5.0,1.0,137475.00
426,2020-12-16,1277851,12215.68,707800,3.0,3.0,1557.0,818614.0,20,19,2020,1.0,1.0,12285.77
439,2020-12-16,1277724,186687.06,135000,3.0,2.0,1070.0,173866.0,20,5,2016,4.5,4.0,139200.00
461,2020-12-14,1276503,191828.42,168560,2.0,2.0,1160.0,233830.0,14,5,2018,9.0,1.0,196609.80
464,2020-12-14,1278775,14981.51,39359,2.0,2.0,1040.0,124930.0,14,7,2019,1.0,3.0,14981.51
468,2020-12-09,1277083,16531.74,130000,2.0,2.0,965.0,255142.0,5,3,2018,7.0,2.0,16531.74
517,2020-12-02,1273071,546868.87,213200,3.0,2.0,1364.0,288638.0,5,1,2015,5.0,2.0,187161.76
543,2020-11-30,1270585,10214.3,79673,1.0,1.0,846.0,128163.0,28,27,2020,1.0,1.0,18527.31
547,2020-11-30,1271043,402648.04,398534,1.0,2.0,912.0,538546.0,28,21,2019,3.0,1.0,407900.00
557,2020-11-25,1275048,143001.16,125000,2.0,1.0,891.0,165841.0,10,7,2018,3.0,3.0,143001.16
589,2020-11-18,1273983,164233.06,194000,3.0,2.0,1256.0,254464.0,10,5,2019,5.0,2.0,172207.49
595,2020-11-18,1273827,10172.76,113000,1.0,1.0,546.0,144461.0,10,8,2019,3.0,2.0,8872.83
723,2020-10-28,1273067,22236.01,354197,2.0,2.0,1088.0,407911.0,2,2,2019,2.0,2.0,27200.00
771,2020-10-21,1271189,13842.53,41444,0.0,0.0,112.0,110771.0,27,22,2019,2.0,1.0,13842.53
782,2020-10-20,1273887,61134.87,53534,3.0,2.0,1125.0,165475.0,8,7,2019,9.0,1.0,60723.00
788,2020-10-19,1271943,127645.05,83400,2.0,1.0,1075.0,113782.0,25,20,2019,3.0,1.0,89000.00
884,2020-09-29,1270518,174230.68,189360,2.0,2.0,1268.0,266992.0,20,19,2019,5.0,2.0,174230.68
899,2020-09-29,1269620,197332.85,126443,2.0,2.0,996.0,344185.0,20,3,2016,6.0,6.0,121824.42
914,2020-09-23,1270400,10172.76,113000,1.0,1.0,546.0,145085.0,16,14,2019,3.0,2.0,10400.00
927,2020-09-21,1267561,59200.83,53852,2.0,2.0,812.0,165882.0,13,8,2019,15.0,2.0,62632.78
936,2020-09-14,1267731,195352.48,180069,4.0,3.0,1500.0,228955.0,6,4,2018,3.0,2.0,202992.46
2069,2020-03-11,1252653,177773.94,140000,2.0,2.0,870.0,179454.0,16,15,2019,5.0,1.0,135000.00
2099,2020-03-10,1251855,142855.71,125345,2.0,1.0,1140.0,192164.0,55,15,2018,7.0,3.0,133400.00
2171,2020-03-04,1252414,43419.12,673814,2.0,2.0,1595.0,964200.0,57,39,2019,1.0,1.0,43419.12
2241,2020-03-02,1251486,79267.35,83037,2.0,2.0,750.0,294650.0,59,40,2019,2.0,1.0,80170.08
2289,2020-02-26,1249987,422258.78,205373,3.0,2.0,1470.0,280154.0,30,5,2014,4.0,8.0,209901.75
