,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Plaintiff Max Bid
13,2021-02-10,1280452,213137.62,145229,3.0,2.0,1090.0,242061.0,23,14,2019,2.0,1.0,175500.00
18,2021-02-10,1282588,240764.72,156893,2.0,1.0,900.0,229928.0,23,19,2020,2.0,0.0,235000.00
19,2021-02-10,1280196,171588.80,230826,0.0,1.0,438.0,282947.0,23,20,2020,4.0,0.0,173429.59
59,2021-02-03,1280752,375534.49,381600,3.0,3.0,1825.0,498240.0,19,18,2020,6.0,0.0,330018.00
68,2021-01-20,1280513,66371.6,102209,2.0,2.0,1213.0,262743.0,37,2,2012,4.0,3.0,66371.60
74,2021-01-20,1280182,477116.59,354197,2.0,2.0,1088.0,413116.0,37,34,2020,2.0,1.0,439762.51
81,2021-01-20,1280968,19042.83,133384,1.0,1.0,1057.0,208386.0,37,37,2020,3.0,1.0,19042.83
85,2021-01-20,1280513,66371.6,102209,2.0,2.0,1213.0,262743.0,37,2,2012,4.0,3.0,66371.60
88,2021-01-20,1280767,213729.18,246600,3.0,2.0,1520.0,423778.0,37,23,2019,3.0,1.0,213730.00
92,2021-01-20,1276323,540474.09,265640,2.0,2.0,1212.0,370968.0,37,27,2019,4.0,1.0,305000.00
100,2021-01-20,1280966,10319.29,122000,1.0,1.0,730.0,157977.0,37,36,2020,1.0,1.0,10600.00
106,2021-01-20,1280966,10319.29,122000,1.0,1.0,730.0,157977.0,37,36,2020,1.0,1.0,10600.00
109,2021-01-19,1275983,81234.09,235583,3.0,2.0,1320.0,350030.0,41,19,2018,2.0,1.0,83400.00
120,2021-01-19,1276925,190303.21,188300,1.0,1.0,709.0,866381.0,41,40,2020,3.0,1.0,197571.23
127,2021-01-19,1281077,23134.21,164800,1.0,1.0,667.0,204478.0,41,32,2019,1.0,1.0,23134.21
165,2021-01-13,1279924,357990.62,84526,2.0,2.0,1150.0,149391.0,38,24,2019,4.0,1.0,146974.30
167,2021-01-13,1280854,31932.19,85437,3.0,2.0,1715.0,209838.0,38,26,2019,3.0,2.0,43811.96
179,2021-01-13,1279550,12750.3,100425,1.0,1.0,855.0,139211.0,38,37,2020,1.0,1.0,13454.87
182,2021-01-12,1279427,54218.33,322100,2.0,2.0,1622.0,457700.0,41,26,2019,1.0,1.0,56582.37
185,2021-01-12,1279700,59531.03,114000,2.0,2.0,1405.0,167102.0,41,28,2019,4.0,1.0,59531.03
186,2021-01-12,1278123,152258.82,76093,2.0,1.0,840.0,177801.0,41,29,2019,8.0,2.0,156600.00
194,2021-01-12,1279686,460953.09,506700,2.0,2.0,1434.0,363471.0,41,40,2020,7.0,1.0,395000.00
195,2021-01-12,1278725,358365.45,178000,2.0,2.0,960.0,231028.0,41,11,2018,9.0,2.0,216000.00
197,2021-01-12,1280851,1590667.72,955500,4.0,4.0,1871.0,350918.0,41,39,2020,5.0,1.0,1500000.00
203,2021-01-12,1278348,65370.15,310800,1.0,1.0,852.0,381160.0,41,19,2018,1.0,2.0,69885.18
207,2021-01-12,1278199,559079.39,544350,2.0,2.0,1171.0,644858.0,41,34,2019,3.0,3.0,559079.39
208,2021-01-12,1277092,367285.94,322000,2.0,1.0,988.0,328275.0,41,35,2019,4.0,1.0,300000.00
220,2021-01-11,1279099,147012.48,70786,2.0,2.0,1011.0,195921.0,59,41,2019,4.0,1.0,130000.00
224,2021-01-11,1272001,621241.69,276200,2.0,2.0,1175.0,324968.0,59,18,2018,5.0,2.0,302700.00
245,2021-01-11,1279822,16894.11,61554,2.0,1.0,718.0,111891.0,59,59,2020,1.0,1.0,16894.11
258,2021-01-11,1278121,98747.04,27003,2.0,2.0,895.0,129682.0,59,11,2016,5.0,6.0,98747.04
261,2021-01-11,1276333,202678.78,211500,1.0,1.0,692.0,304934.0,59,55,2020,3.0,1.0,210230.65
281,2021-01-06,1274734,223590.69,197652,1.0,1.0,806.0,291608.0,75,56,2019,7.0,1.0,226617.49
282,2021-01-06,1280176,708531.04,714555,0.0,0.0,2133.0,385286.0,75,72,2020,7.0,1.0,708531.04
283,2021-01-06,1276188,190403.21,179100,1.0,1.0,692.0,866381.0,75,74,2020,3.0,1.0,197539.42
315,2021-01-06,1275433,543494.04,206000,3.0,2.0,1420.0,283469.0,75,58,2019,4.0,1.0,220800.00
320,2021-01-06,1277542,110029.55,106003,2.0,2.0,1257.0,213861.0,75,8,2015,3.0,1.0,114969.47
323,2021-01-06,1278152,286128.55,164800,1.0,1.0,667.0,204478.0,75,68,2019,4.0,1.0,211000.00
347,2021-01-05,1278078,276256.02,126700,2.0,2.0,1080.0,253390.0,27,25,2020,3.0,1.0,153000.00
349,2021-01-05,1279220,28264.5,68009,2.0,2.0,1130.0,136410.0,27,17,2019,1.0,2.0,28600.00
359,2021-01-04,1275472,142960.83,126600,2.0,2.0,861.0,164960.0,72,46,2019,5.0,1.0,137475.00
380,2021-01-04,1278721,659139.24,414900,1.0,1.0,808.0,267463.0,72,24,2018,5.0,3.0,441000.00
419,2021-01-04,1276233,191236.9,174800,1.0,1.0,651.0,268435.0,72,70,2020,3.0,1.0,198121.43
426,2020-12-16,1277851,12215.68,707800,3.0,3.0,1557.0,818614.0,20,19,2020,1.0,1.0,12285.77
438,2020-12-16,1273001,582980.19,717000,0.0,0.0,1925.0,214709.0,20,16,2020,6.0,1.0,582980.19
439,2020-12-16,1277724,186687.06,135000,3.0,2.0,1070.0,173866.0,20,5,2016,4.5,4.0,139200.00
443,2020-12-15,1277102,734976.46,591120,2.0,2.0,1800.0,752171.0,11,5,2019,11.0,1.0,600000.00
461,2020-12-14,1276503,191828.42,168560,2.0,2.0,1160.0,233830.0,14,5,2018,9.0,1.0,196609.80
464,2020-12-14,1278775,14981.51,39359,2.0,2.0,1040.0,124930.0,14,7,2019,1.0,3.0,14981.51
468,2020-12-09,1277083,16531.74,130000,2.0,2.0,965.0,255142.0,5,3,2018,7.0,2.0,16531.74
511,2020-12-07,1271294,600735.3,498000,3.0,2.0,1461.0,334530.0,33,26,2019,6.0,2.0,600735.30
517,2020-12-02,1273071,546868.87,213200,3.0,2.0,1364.0,288638.0,5,1,2015,5.0,2.0,187161.76
523,2020-12-01,1270849,311337.32,235900,1.0,1.0,816.0,282664.0,18,13,2019,4.0,2.0,262000.00
528,2020-12-01,1273562,199817.79,141100,1.0,1.0,918.0,189785.0,18,4,2016,8.0,4.0,139900.00
543,2020-11-30,1270585,10214.3,79673,1.0,1.0,846.0,128163.0,28,27,2020,1.0,1.0,18527.31
544,2020-11-30,1277357,598719.3,406600,1.0,2.0,979.0,350742.0,28,22,2019,2.0,1.0,550000.00
547,2020-11-30,1271043,402648.04,398534,1.0,2.0,912.0,538546.0,28,21,2019,3.0,1.0,407900.00
555,2020-11-30,1276186,531447.92,391797,1.0,2.0,947.0,630947.0,28,25,2020,5.0,1.0,409999.18
557,2020-11-25,1275048,143001.16,125000,2.0,1.0,891.0,165841.0,10,7,2018,3.0,3.0,143001.16
575,2020-11-23,1274462,234460.14,106740,2.0,2.0,730.0,203562.0,21,18,2020,2.0,1.0,139900.00
586,2020-11-23,1274164,197332.85,126443,2.0,2.0,996.0,343537.0,21,5,2016,6.0,6.0,220370.00
589,2020-11-18,1273983,164233.06,194000,3.0,2.0,1256.0,254464.0,10,5,2019,5.0,2.0,172207.49
595,2020-11-18,1273827,10172.76,113000,1.0,1.0,546.0,144461.0,10,8,2019,3.0,2.0,8872.83
600,2020-11-17,1275529,222936.65,180000,3.0,2.0,1400.0,219488.0,7,3,2019,7.0,1.0,216000.00
602,2020-11-16,1272522,371189.96,266297,1.0,1.0,791.0,233585.0,38,19,2018,6.0,3.0,285000.00
604,2020-11-16,1273779,328052.71,393439,3.0,2.0,2440.0,627683.0,38,23,2018,3.0,2.0,331336.96
621,2020-11-16,1273992,550855.63,567000,3.0,2.0,1489.0,334738.0,38,28,2019,6.0,1.0,555132.63
