,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Plaintiff Max Bid
18,2021-02-10,1282588,240764.72,156893,2.0,1.0,900.0,229928.0,23,19,2020,2.0,0.0,235000.00
59,2021-02-03,1280752,375534.49,381600,3.0,3.0,1825.0,498240.0,19,18,2020,6.0,0.0,330018.00
74,2021-01-20,1280182,477116.59,354197,2.0,2.0,1088.0,413116.0,37,34,2020,2.0,1.0,439762.51
92,2021-01-20,1276323,540474.09,265640,2.0,2.0,1212.0,370968.0,37,27,2019,4.0,1.0,305000.00
120,2021-01-19,1276925,190303.21,188300,1.0,1.0,709.0,866381.0,41,40,2020,3.0,1.0,197571.23
165,2021-01-13,1279924,357990.62,84526,2.0,2.0,1150.0,149391.0,38,24,2019,4.0,1.0,146974.30
185,2021-01-12,1279700,59531.03,114000,2.0,2.0,1405.0,167102.0,41,28,2019,4.0,1.0,59531.03
186,2021-01-12,1278123,152258.82,76093,2.0,1.0,840.0,177801.0,41,29,2019,8.0,2.0,156600.00
195,2021-01-12,1278725,358365.45,178000,2.0,2.0,960.0,231028.0,41,11,2018,9.0,2.0,216000.00
197,2021-01-12,1280851,1590667.72,955500,4.0,4.0,1871.0,350918.0,41,39,2020,5.0,1.0,1500000.00
208,2021-01-12,1277092,367285.94,322000,2.0,1.0,988.0,328275.0,41,35,2019,4.0,1.0,300000.00
224,2021-01-11,1272001,621241.69,276200,2.0,2.0,1175.0,324968.0,59,18,2018,5.0,2.0,302700.00
258,2021-01-11,1278121,98747.04,27003,2.0,2.0,895.0,129682.0,59,11,2016,5.0,6.0,98747.04
261,2021-01-11,1276333,202678.78,211500,1.0,1.0,692.0,304934.0,59,55,2020,3.0,1.0,210230.65
283,2021-01-06,1276188,190403.21,179100,1.0,1.0,692.0,866381.0,75,74,2020,3.0,1.0,197539.42
315,2021-01-06,1275433,543494.04,206000,3.0,2.0,1420.0,283469.0,75,58,2019,4.0,1.0,220800.00
323,2021-01-06,1278152,286128.55,164800,1.0,1.0,667.0,204478.0,75,68,2019,4.0,1.0,211000.00
347,2021-01-05,1278078,276256.02,126700,2.0,2.0,1080.0,253390.0,27,25,2020,3.0,1.0,153000.00
380,2021-01-04,1278721,659139.24,414900,1.0,1.0,808.0,267463.0,72,24,2018,5.0,3.0,441000.00
419,2021-01-04,1276233,191236.9,174800,1.0,1.0,651.0,268435.0,72,70,2020,3.0,1.0,198121.43
438,2020-12-16,1273001,582980.19,717000,0.0,0.0,1925.0,214709.0,20,16,2020,6.0,1.0,582980.19
443,2020-12-15,1277102,734976.46,591120,2.0,2.0,1800.0,752171.0,11,5,2019,11.0,1.0,600000.00
511,2020-12-07,1271294,600735.3,498000,3.0,2.0,1461.0,334530.0,33,26,2019,6.0,2.0,600735.30
523,2020-12-01,1270849,311337.32,235900,1.0,1.0,816.0,282664.0,18,13,2019,4.0,2.0,262000.00
