,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Plaintiff Max Bid
728,2020-10-27,1272983,273208.71,168105,0.0,1.0,638.0,15,4,2015,6.0,2.0,214000.00
2457,2020-02-18,1249470,259341.8,175100,0.0,0.0,1540.0,99,55,2018,4.0,3.0,217000.00
2806,2020-01-22,1244127,109717.1,2067400,2.0,3.0,2942.0,32,8,2017,5.0,1.0,111137.60
3742,2019-12-02,1238881,155217.24,68801,1.0,1.0,909.0,75,59,2019,4.0,1.0,70400.00
6067,2019-07-10,1216433,896741.32,492000,1.0,1.0,851.0,40,2,2012,6.0,2.0,910461.17
6634,2019-06-10,1196770,412639.16,140072,1.0,1.0,685.0,77,27,2017,5.0,1.0,142008.12
7309,2019-04-30,1206829,172492.2,116390,2.0,2.0,750.0,41,23,2017,7.0,1.0,173924.20
8699,2019-02-06,1183277,260673.22,152000,3.0,2.0,1190.0,16,9,2017,11.0,2.0,165367.82
8758,2019-02-04,1190687,237653.4,204100,3.0,2.0,1170.0,65,6,2013,8.0,2.0,237653.40
8904,2019-01-23,1184558,173991.08,134565,1.0,1.0,950.0,49,35,2017,4.0,2.0,179400.00
8909,2019-01-23,1186468,197140.87,127000,1.0,1.0,710.0,49,38,2017,6.0,1.0,142000.00
8920,2019-01-23,1188159,356454.37,233000,2.0,2.0,940.0,49,37,2017,7.0,1.0,272500.00
8939,2019-01-23,1175418,252757.72,88000,2.0,2.0,1162.0,49,15,2016,8.0,1.0,90000.00
9069,2019-01-16,1188254,602901.84,337869,1.0,1.0,816.0,54,4,2012,37.0,5.0,357029.85
9137,2019-01-15,1189152,289217.42,367800,2.0,2.0,1580.0,41,32,2017,3.0,1.0,550000.00
9718,2018-12-10,1168966,571011.03,300374,2.0,2.0,1509.0,84,42,2017,3.0,1.0,582499.23
10191,2018-11-19,1178019,369103.73,121410,0.0,0.0,1349.0,69,66,2018,3.0,1.0,377300.73
10484,2018-11-05,1176140,8066249.12,5868170,4.0,3.0,6170.0,93,89,2018,5.0,1.0,7420000.00
11203,2018-10-02,1170548,1197546.11,348955,2.0,2.0,1963.0,72,45,2016,9.0,4.0,151731.00
11256,2018-10-01,1166157,201744.01,118000,2.0,2.0,880.0,64,49,2017,6.0,1.0,120000.00
11615,2018-09-12,1165713,155417.04,99745,2.0,2.0,1046.0,70,52,2017,2.0,1.0,103000.00
11949,2018-08-28,1163897,75056.9,63670,1.0,1.0,377.0,92,59,2017,24.0,1.0,75056.90
12481,2018-08-01,1161478,239177.02,138053,2.0,2.0,924.0,33,17,2017,5.0,1.0,171000.00
15371,2018-03-27,1138205,254046.66,185000,3.0,2.0,1239.0,50,20,2014,6.0,4.0,255803.11
15661,2018-03-16,1124569,95882.0,78750,2.0,1.0,1000.0,27,18,2017,1.0,1.0,97848.46
15709,2018-03-15,1136703,400231.37,185000,2.0,2.0,960.0,114,40,2016,5.0,1.0,183854.84
16653,2018-01-29,1125153,1197546.11,348955,2.0,2.0,1963.0,38,22,2016,9.0,4.0,192762.00
17101,2018-01-16,1123685,262907.96,185000,3.0,2.0,1239.0,78,21,2014,6.0,4.0,269768.50
19470,2017-09-26,1107336,75247.75,146960,2.0,2.0,1224.0,57,30,2016,1.0,1.0,75247.75
20869,2017-08-14,1094520,117150.69,66962,2.0,1.0,891.0,77,41,2016,7.0,2.0,120278.18
21027,2017-08-07,1092463,86933.87,82450,3.0,1.0,935.0,61,16,2014,5.0,7.0,62500.00
21528,2017-07-19,1094978,142940.57,159750,3.0,2.0,1220.0,68,62,2017,4.0,1.0,142461.65
22510,2017-06-14,1085568,215532.89,195000,3.0,2.0,1147.0,67,59,2016,4.0,1.0,148736.00
24042,2017-04-25,1066865,412455.49,282567,2.0,2.0,1183.0,31,17,2014,4.0,1.0,375000.00
24177,2017-04-20,1075113,281060.26,186000,3.0,2.0,1364.0,93,47,2016,9.0,1.0,271666.84
24889,2017-03-27,1066233,67491.17,127926,2.0,2.0,1123.0,33,29,2016,3.0,2.0,67491.17
25404,2017-03-08,1066151,274081.29,143000,4.0,2.0,1846.0,68,50,2016,6.0,1.0,127800.00
25433,2017-03-08,1066223,206052.16,153000,2.0,2.0,1036.0,68,44,2016,2.0,1.0,157000.00
