,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Plaintiff Max Bid
5,2021-02-10,1280094,837070.30,313061,6.0,4.0,3379.0,7407.0,23,6,2017,1.0,5.0,2.0,328800.00
581,2020-11-23,1275642,779817.27,432555,3.0,2.0,1680.0,8125.0,21,14,2019,0.0,3.0,1.0,780161.46
4028,2019-11-12,1222450,708798.92,283598,4.0,2.0,3004.0,6000.0,109,27,2016,1.0,3.0,2.0,300000.00
9734,2018-12-10,1178032,2100897.76,789570,4.0,4.0,3750.0,21600.0,84,39,2017,0.0,5.0,4.0,2175189.27
13173,2018-07-06,1156604,635928.23,193779,3.0,2.0,1850.0,130680.0,62,41,2017,0.0,3.0,1.0,640412.93
14144,2018-05-21,1143882,402565.02,191000,3.0,2.0,1656.0,1896.0,57,10,2013,1.0,5.0,2.0,483678.59
14796,2018-04-18,1143276,266538.23,124060,2.0,2.0,1678.0,5250.0,25,3,2014,1.0,3.0,3.0,283800.00
17722,2017-12-13,1119993,272290.75,464531,6.0,3.0,3430.0,7500.0,60,8,2012,0.0,3.0,5.0,318975.11
21751,2017-07-13,1093147,284325.42,131288,3.0,2.0,1290.0,5500.0,16,2,2012,1.0,3.0,6.0,244170.81
22266,2017-06-22,1088364,129193.62,107415,3.0,1.0,1162.0,2210.0,111,50,2017,1.0,4.0,1.0,129979.90
