,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Plaintiff Max Bid
2,2021-02-10,1280981,290606.10,264778,3.0,2.0,2149.0,5225.0,358913.0,23,3,2016,1.0,3.0,1.0,290278.00
9,2021-02-10,1280997,281159.89,295785,3.0,3.0,1440.0,7447.44,456146.0,23,10,2018,0.0,2.0,1.0,281159.89
16,2021-02-10,1282591,13369.40,128824,4.0,3.0,1860.0,2054.0,215678.0,23,17,2020,1.0,2.0,0.0,13369.40
27,2021-02-08,1281154,307512.10,299625,3.0,1.0,1912.0,7500.0,402614.0,15,1,2012,0.0,3.0,6.0,337800.00
37,2021-02-08,1281247,1469908.96,1174289,3.0,2.0,1764.0,8234.0,1616441.0,15,11,2019,1.0,10.0,0.0,1481370.57
43,2021-02-03,1280965,764191.64,373137,3.0,3.0,2246.0,8082.02,573837.0,19,2,2017,0.0,4.0,0.0,451950.00
65,2021-02-02,1281021,314474.96,137760,3.0,2.0,1292.0,7425.0,440646.0,8,5,2019,1.0,3.0,2.0,311797.28
73,2021-01-20,1278911,584960.91,102287,2.0,1.0,1098.0,7860.0,257978.0,37,14,2018,0.0,10.0,2.0,584960.91
75,2021-01-20,1279509,1146160.78,674925,4.0,3.0,2736.0,45738.0,997086.0,37,7,2016,0.0,7.0,5.0,712900.00
78,2021-01-20,1279213,1635728.88,898012,4.0,4.0,3764.0,435600.0,1553264.0,37,10,2017,0.0,5.0,5.0,1070100.00
82,2021-01-20,1279337,178077.41,702298,4.0,3.0,2426.0,15146.0,928666.0,37,20,2019,0.0,1.0,2.0,178077.41
86,2021-01-20,1279794,216647.9,65965,2.0,1.0,1392.0,5040.0,173063.0,37,21,2019,0.0,1.0,2.0,178000.00
101,2021-01-20,1279554,1041834.1,492694,5.0,3.0,2268.0,15000.0,1085371.0,37,6,2014,0.0,2.0,6.0,799900.00
102,2021-01-20,1279554,1041834.1,492694,5.0,3.0,2268.0,15000.0,1085371.0,37,6,2014,0.0,2.0,6.0,799900.00
108,2021-01-19,1273744,196909.76,110235,2.0,1.0,873.0,9375.0,360089.0,41,14,2018,0.0,2.0,2.0,196909.76
110,2021-01-19,1278134,9194.06,285769,3.0,2.0,2025.0,3420.0,424101.0,41,39,2020,1.0,2.0,1.0,9194.06
113,2021-01-19,1278842,688089.63,675598,4.0,4.0,3616.0,15000.0,346916.0,41,2,2007,0.0,3.0,2.0,684940.00
116,2021-01-19,1280508,430726.23,175401,2.0,1.0,1270.0,7586.0,448514.0,41,3,2011,0.0,3.0,7.0,481500.00
119,2021-01-19,1279800,315627.0,259477,3.0,2.0,1526.0,4750.0,376891.0,41,20,2018,0.0,9.0,1.0,315627.00
129,2021-01-19,1280269,179424.41,189527,3.0,2.0,1798.0,7929.0,311424.0,41,29,2019,0.0,6.0,1.0,194900.00
135,2021-01-19,1276583,401667.48,123498,3.0,2.0,1815.0,7500.0,358383.0,41,18,2018,0.0,2.0,1.0,401667.48
141,2021-01-19,1280508,430726.23,175401,2.0,1.0,1270.0,7586.0,448514.0,41,3,2011,0.0,3.0,7.0,481500.00
144,2021-01-19,1279029,205990.15,160510,3.0,2.0,1234.0,7400.0,220179.0,41,35,2019,0.0,2.0,2.0,205990.15
150,2021-01-13,1279200,1156745.09,723642,6.0,3.0,2931.0,16800.0,779475.0,38,13,2017,0.0,4.0,3.0,1236829.15
151,2021-01-13,1279169,322444.3,205247,3.0,2.0,1897.0,6448.0,291155.0,38,12,2017,1.0,7.0,1.0,326229.10
166,2021-01-13,1272429,1501473.13,1205130,4.0,3.0,3304.0,36721.0,1913132.0,38,20,2018,0.0,5.0,2.0,1245600.00
169,2021-01-13,1275592,494176.33,148018,3.0,2.0,1505.0,4646.0,366368.0,38,10,2016,1.0,5.0,2.0,320000.00
172,2021-01-13,1279687,1092017.13,1097257,5.0,5.0,5570.0,9375.0,538669.0,38,35,2020,0.0,2.0,1.0,1098604.23
180,2021-01-12,1278356,438129.47,85869,4.0,2.0,1789.0,6362.0,332859.0,41,21,2019,1.0,1.0,3.0,300000.00
181,2021-01-12,1278412,337023.86,129119,3.0,2.0,1453.0,15006.0,344496.0,41,8,2017,0.0,1.0,3.0,303800.00
184,2021-01-12,1279549,595743.8,403978,5.0,4.0,3945.0,7761.0,587610.0,41,27,2019,1.0,4.0,2.0,595743.80
187,2021-01-12,1278198,35996.08,189746,3.0,2.0,1035.0,30100.0,300938.0,41,16,2018,0.0,3.0,5.0,56553.52
205,2021-01-12,1279445,10726.91,215200,3.0,2.0,1308.0,1400.0,294655.0,41,41,2020,1.0,2.0,1.0,10726.91
211,2021-01-12,1278876,12687.84,145625,2.0,2.0,1089.0,2520.0,256820.0,41,32,2019,1.0,1.0,1.0,12687.84
215,2021-01-11,1272002,334644.16,152539,5.0,2.0,1617.0,7400.0,324452.0,59,17,2017,1.0,3.0,3.0,50020.00
221,2021-01-11,1277733,341966.65,171249,3.0,2.0,1349.0,6700.0,325323.0,59,7,2015,1.0,6.0,16.0,265000.00
234,2021-01-11,1272415,33546.37,33595,2.0,1.0,980.0,3675.0,217887.0,59,12,2017,0.0,1.0,4.0,50543.83
237,2021-01-11,1279820,105195.63,46313,2.0,1.0,1162.0,5500.0,258596.0,59,31,2019,0.0,4.0,1.0,108357.76
239,2021-01-11,1279791,1341520.41,586573,5.0,3.0,3499.0,39204.0,1086617.0,59,33,2019,1.0,5.5,3.0,1372307.38
244,2021-01-11,1274065,448457.48,376309,6.0,4.0,2917.0,6000.0,615780.0,59,51,2020,0.0,1.0,1.0,455638.26
248,2021-01-11,1278840,8366.0,172201,3.0,2.0,1432.0,2025.0,234040.0,59,28,2019,1.0,5.0,1.0,8366.00
260,2021-01-11,1276473,314598.0,321010,3.0,2.0,1968.0,21440.0,451910.0,59,47,2019,0.0,1.0,1.0,321598.00
262,2021-01-11,1281332,362249.96,108288,3.0,2.0,1457.0,3148.0,294497.0,59,27,2018,1.0,6.0,1.0,362249.96
267,2021-01-06,1278743,668737.7,198916,2.0,1.0,1546.0,11072.0,447962.0,75,7,2014,0.0,1.0,1.0,673583.76
272,2021-01-06,1278072,767681.99,416244,4.0,3.0,3457.0,5606.72,908719.0,75,29,2018,0.0,2.0,1.0,769015.16
290,2021-01-06,1279446,230971.47,156675,3.0,2.0,1410.0,3405.0,357413.0,75,73,2020,0.0,4.0,1.0,96000.00
298,2021-01-06,1274044,262123.37,199960,4.0,3.0,2511.0,4195.0,429814.0,75,2,2010,0.0,3.0,13.0,262123.37
319,2021-01-06,1279218,11482.91,192500,3.0,2.0,1705.0,1760.0,266478.0,75,10,2016,1.0,2.0,6.0,11482.91
321,2021-01-06,1273997,725404.55,366081,4.0,2.0,2458.0,11629.0,458615.0,75,60,2019,0.0,8.0,1.0,549500.00
330,2021-01-06,1277825,214306.18,87642,3.0,2.0,2210.0,6750.0,373660.0,75,37,2018,0.0,2.0,1.0,214306.18
331,2021-01-06,1278113,501242.11,243971,3.0,2.0,1780.0,4606.0,307070.0,75,3,2012,0.0,7.0,2.0,364800.00
332,2021-01-06,1278921,375886.08,176200,4.0,2.0,1820.0,4829.0,324800.0,75,34,2018,1.0,9.0,2.0,239900.00
333,2021-01-06,1277012,85352.65,56713,3.0,1.0,870.0,6750.0,239235.0,75,26,2017,0.0,3.0,6.0,94705.99
350,2021-01-05,1278202,714827.54,733922,4.0,2.0,2539.0,15167.0,1284952.0,27,21,2019,0.0,4.0,1.0,730000.00
362,2021-01-04,1270589,256439.27,110164,3.0,2.0,2254.0,9360.0,371298.0,72,12,2016,1.0,5.0,4.0,259000.00
