,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Plaintiff Max Bid
73,2021-01-20,1278911,584960.91,102287,2.0,1.0,1098.0,7860.0,257978.0,37,14,2018,0.0,10.0,2.0,584960.91
75,2021-01-20,1279509,1146160.78,674925,4.0,3.0,2736.0,45738.0,997086.0,37,7,2016,0.0,7.0,5.0,712900.00
78,2021-01-20,1279213,1635728.88,898012,4.0,4.0,3764.0,435600.0,1553264.0,37,10,2017,0.0,5.0,5.0,1070100.00
82,2021-01-20,1279337,178077.41,702298,4.0,3.0,2426.0,15146.0,928666.0,37,20,2019,0.0,1.0,2.0,178077.41
86,2021-01-20,1279794,216647.9,65965,2.0,1.0,1392.0,5040.0,173063.0,37,21,2019,0.0,1.0,2.0,178000.00
116,2021-01-19,1280508,430726.23,175401,2.0,1.0,1270.0,7586.0,448514.0,41,3,2011,0.0,3.0,7.0,481500.00
119,2021-01-19,1279800,315627.0,259477,3.0,2.0,1526.0,4750.0,376891.0,41,20,2018,0.0,9.0,1.0,315627.00
141,2021-01-19,1280508,430726.23,175401,2.0,1.0,1270.0,7586.0,448514.0,41,3,2011,0.0,3.0,7.0,481500.00
150,2021-01-13,1279200,1156745.09,723642,6.0,3.0,2931.0,16800.0,779475.0,38,13,2017,0.0,4.0,3.0,1236829.15
151,2021-01-13,1279169,322444.3,205247,3.0,2.0,1897.0,6448.0,291155.0,38,12,2017,1.0,7.0,1.0,326229.10
169,2021-01-13,1275592,494176.33,148018,3.0,2.0,1505.0,4646.0,366368.0,38,10,2016,1.0,5.0,2.0,320000.00
184,2021-01-12,1279549,595743.8,403978,5.0,4.0,3945.0,7761.0,587610.0,41,27,2019,1.0,4.0,2.0,595743.80
221,2021-01-11,1277733,341966.65,171249,3.0,2.0,1349.0,6700.0,325323.0,59,7,2015,1.0,6.0,16.0,265000.00
267,2021-01-06,1278743,668737.7,198916,2.0,1.0,1546.0,11072.0,447962.0,75,7,2014,0.0,1.0,1.0,673583.76
272,2021-01-06,1278072,767681.99,416244,4.0,3.0,3457.0,5606.72,908719.0,75,29,2018,0.0,2.0,1.0,769015.16
321,2021-01-06,1273997,725404.55,366081,4.0,2.0,2458.0,11629.0,458615.0,75,60,2019,0.0,8.0,1.0,549500.00
331,2021-01-06,1278113,501242.11,243971,3.0,2.0,1780.0,4606.0,307070.0,75,3,2012,0.0,7.0,2.0,364800.00
350,2021-01-05,1278202,714827.54,733922,4.0,2.0,2539.0,15167.0,1284952.0,27,21,2019,0.0,4.0,1.0,730000.00
389,2021-01-04,1272589,781276.05,365616,3.0,2.0,1876.0,7500.0,490871.0,72,29,2018,0.0,6.0,2.0,513450.00
390,2021-01-04,1269272,427228.85,247762,3.0,2.0,1344.0,3278.0,350776.0,72,50,2019,0.0,4.0,1.0,340000.00
399,2021-01-04,1278746,707414.23,630538,4.0,4.0,3624.0,4885.0,784562.0,72,65,2020,1.0,8.0,2.0,732308.54
453,2020-12-14,1278442,694264.48,264704,3.0,2.0,1425.0,4413.0,369014.0,14,9,2019,0.0,7.0,1.0,325000.00
467,2020-12-09,1273825,299146.19,171761,3.0,2.0,2256.0,7822.0,516402.0,5,2,2015,0.0,2.0,3.0,299146.19
481,2020-12-08,1272091,1780096.53,752110,0.0,10.0,10293.0,32250.0,299128.0,16,12,2019,0.0,3.0,2.0,1500000.00
483,2020-12-08,1277731,373030.86,456005,3.0,3.0,1886.0,12478.0,582622.0,16,14,2019,0.0,3.0,1.0,378900.64
499,2020-12-07,1275939,302362.53,214923,2.0,2.0,1372.0,9223.0,315829.0,33,14,2018,0.0,5.0,1.0,300000.00
504,2020-12-07,1276371,493720.36,282294,2.0,2.0,2700.0,54450.0,570560.0,33,8,2017,0.0,19.0,6.0,517172.08
541,2020-11-30,1276177,1251368.58,910737,5.0,4.0,2739.0,7500.0,1988055.0,28,15,2019,0.0,3.0,1.0,1251368.58
563,2020-11-25,1276128,311975.66,175386,4.0,2.0,1883.0,4802.0,411422.0,10,1,2008,1.0,5.0,5.0,370800.00
576,2020-11-23,1275635,194968.08,200200,3.0,2.0,1629.0,6750.0,307548.0,21,11,2019,0.0,2.0,2.0,212630.15
579,2020-11-23,1274167,445931.73,233733,3.0,2.0,2003.0,5300.0,320665.0,21,16,2019,1.0,5.0,1.0,349900.00
580,2020-11-23,1273112,504638.69,282000,4.0,2.0,1894.0,1516.0,357541.0,21,4,2014,1.0,4.0,5.0,345000.00
593,2020-11-18,1271025,328063.12,209000,3.0,2.0,1178.0,3598.0,289840.0,10,4,2019,1.0,5.0,3.0,275000.00
606,2020-11-16,1271793,537650.59,302000,4.0,3.0,2322.0,2080.0,405225.0,38,17,2017,1.0,7.0,3.0,540243.09
613,2020-11-16,1275087,2824246.27,1836102,4.0,4.0,4812.0,11250.0,2541609.0,38,25,2019,0.0,2.0,1.0,2650000.00
616,2020-11-16,1274740,2822758.47,1273658,5.0,6.0,5378.0,12352.0,207976.0,38,9,2015,1.0,3.0,3.0,1999900.00
618,2020-11-16,1273480,547132.41,393444,2.0,2.0,1563.0,6250.0,460112.0,38,29,2019,0.0,6.0,3.0,540000.00
643,2020-11-10,1273093,352391.63,315391,3.0,2.0,1904.0,8025.0,379368.0,31,12,2018,1.0,5.0,2.0,377051.11
706,2020-11-02,1272006,590423.54,403978,5.0,4.0,3945.0,7761.0,564087.0,33,25,2019,1.0,4.0,2.0,590423.54
708,2020-11-02,1271296,87981.37,108900,2.0,1.0,859.0,2940.0,169582.0,33,24,2019,0.0,2.0,4.0,95781.12
715,2020-11-02,1270389,6169144.2,4066815,5.0,5.0,11684.0,51836.0,3817788.0,33,15,2017,1.0,4.0,5.0,6600000.00
717,2020-11-02,1271442,231181.13,158376,3.0,2.0,996.0,8580.0,252700.0,33,16,2018,0.0,4.0,1.0,213909.04
748,2020-10-26,1271277,226890.02,75788,3.0,2.0,1140.0,3754.0,213996.0,16,13,2019,0.0,9.0,1.0,226890.02
752,2020-10-21,1270691,493720.36,282294,2.0,2.0,2700.0,54450.0,565293.0,27,7,2017,0.0,19.0,6.0,493720.36
758,2020-10-21,1272301,479806.16,230694,4.0,2.0,1330.0,5500.0,385827.0,27,20,2019,0.0,7.0,1.0,369000.00
765,2020-10-21,1272999,394080.4,306007,4.0,2.0,2223.0,3878.0,459765.0,27,18,2019,1.0,7.0,1.0,390000.00
785,2020-10-19,1270509,525996.96,395080,0.0,0.0,3278.0,13400.0,313837.0,25,8,2018,1.0,4.0,2.0,525996.96
810,2020-10-13,1271314,395618.49,177116,3.0,3.0,1347.0,3750.0,252190.0,31,13,2018,1.0,14.0,1.0,224000.00
835,2020-10-13,1270128,749403.36,356840,3.0,2.0,2783.0,54450.0,512037.0,31,12,2018,1.0,2.0,6.0,399900.00
836,2020-10-07,1270597,388431.85,63585,2.0,1.0,1311.0,5500.0,372178.0,10,6,2019,1.0,9.0,1.0,289000.00
849,2020-10-05,1270575,237753.79,115069,2.0,1.0,842.0,8142.0,338847.0,22,22,2020,1.0,4.0,1.0,238138.79
861,2020-10-05,1270574,537080.74,549792,3.0,2.0,2270.0,10650.0,464297.0,22,13,2018,0.0,1.0,2.0,537080.74
863,2020-10-05,1267567,367222.75,281596,4.0,3.0,2003.0,4960.0,414269.0,22,21,2019,0.0,7.0,1.0,421229.68
879,2020-09-30,1268836,391112.8,168903,4.0,2.0,2321.0,8591.0,374130.0,14,2,2015,0.0,4.0,3.0,391112.80
891,2020-09-29,1269570,247009.72,198095,3.0,2.0,1686.0,7500.0,320638.0,20,16,2019,0.0,7.0,1.0,247009.72
933,2020-09-16,1267151,193321.49,141550,2.0,1.0,1201.0,6000.0,259657.0,5,3,2019,1.0,2.0,3.0,187148.00
1129,2020-06-08,1257705,443543.95,310001,3.0,2.0,1720.0,2734.0,423359.0,32,25,2019,1.0,10.0,1.0,355000.00
2070,2020-03-11,1253047,247887.72,191524,3.0,1.0,1730.0,7612.5,264631.0,16,16,2019,0.0,18.0,1.0,250194.36
2071,2020-03-11,1252806,632108.0,214028,3.0,2.0,1830.0,4500.0,389462.0,16,4,2014,1.0,5.0,2.0,225565.06
2076,2020-03-11,1252652,989777.06,421240,5.0,4.0,2700.0,5750.0,421984.0,16,3,2014,0.0,5.0,2.0,997180.82
2127,2020-03-09,1249632,287870.2,170932,3.0,2.0,1504.0,10800.0,309831.0,66,10,2014,1.0,12.0,1.0,278000.00
2136,2020-03-09,1248128,319633.74,36886,3.0,2.0,932.0,5056.8,212871.0,66,27,2017,0.0,5.0,2.0,168000.00
2190,2020-03-04,1251919,615117.49,414898,4.0,4.0,3053.0,5500.0,553179.0,57,28,2018,1.0,4.0,2.0,642167.91
2250,2020-03-02,1251277,515465.05,424177,3.0,2.0,2089.0,6950.0,440517.0,59,18,2018,0.0,6.0,2.0,479000.00
2257,2020-03-02,1239751,522739.14,133588,2.0,2.0,1612.0,3800.0,389234.0,59,41,2019,0.0,2.0,1.0,352750.00
2296,2020-02-26,1249672,462880.87,254260,3.0,1.0,1262.0,6688.0,341508.0,30,10,2017,1.0,2.0,3.0,512062.99
2302,2020-02-26,1249169,395597.63,152711,3.0,2.0,1567.0,7500.0,315381.0,30,6,2014,0.0,2.0,3.0,349500.00
2318,2020-02-25,1243588,231567.05,97978,3.0,1.0,864.0,7800.0,224578.0,16,4,2015,0.0,2.0,2.0,174150.00
2412,2020-02-18,1249382,526506.44,324623,3.0,2.0,2050.0,7500.0,429688.0,99,56,2018,0.0,4.0,4.0,371500.00
2419,2020-02-18,1231240,1357729.38,844417,5.0,4.0,3584.0,13266.0,980597.0,99,26,2016,1.0,6.0,1.0,819000.00
2431,2020-02-18,1247380,724785.79,463125,6.0,4.0,3472.0,5500.0,750007.0,99,44,2017,0.0,7.0,2.0,753393.86
2455,2020-02-18,1243176,528926.69,249843,3.0,2.0,1588.0,21120.0,357108.0,99,31,2017,0.0,3.0,1.0,316400.00
2481,2020-02-18,1249576,480044.2,257045,3.0,2.0,2387.0,7500.0,416439.0,99,72,2018,0.0,3.0,2.0,348300.00
2504,2020-02-12,1249354,481335.14,149825,3.0,2.0,1544.0,5200.0,369209.0,38,17,2018,1.0,3.0,1.0,319500.00
2520,2020-02-12,1249331,344357.58,311598,4.0,2.0,2745.0,18433.0,405503.0,38,6,2017,1.0,67.0,1.0,343000.00
2526,2020-02-12,1249341,336158.43,93732,3.0,1.0,999.0,6000.0,228522.0,38,37,2019,0.0,5.0,1.0,187720.00
2541,2020-02-10,1248770,647075.86,439595,4.0,3.0,3060.0,21584.0,638908.0,68,27,2017,0.0,7.0,1.0,651698.77
2542,2020-02-10,1247231,241771.79,95041,2.0,1.0,1360.0,8845.23,243924.0,68,46,2018,1.0,3.0,1.0,145855.00
2549,2020-02-10,1240929,322929.28,251126,4.0,3.0,2620.0,4060.0,353347.0,68,20,2017,1.0,3.0,3.0,255150.00
2589,2020-02-10,1247269,350571.19,147297,5.0,3.0,2338.0,7500.0,313246.0,68,30,2017,0.0,5.0,1.0,247200.00
2632,2020-02-04,1244900,1942551.89,910742,4.0,4.0,3415.0,18484.0,1270593.0,26,5,2015,0.0,6.0,5.0,739800.00
2674,2020-02-03,1247497,653919.12,234171,3.0,2.0,3114.0,17400.0,498488.0,63,54,2019,0.0,3.0,1.0,412454.00
2684,2020-02-03,1235646,530052.29,258723,3.0,2.0,1454.0,5892.0,373194.0,63,24,2018,1.0,9.0,1.0,320400.00
2698,2020-02-03,1243906,1002517.91,928525,6.0,4.0,4171.0,15000.0,1592959.0,63,21,2017,0.0,3.0,3.0,1036360.81
2720,2020-01-28,1240346,1142965.31,1015496,4.0,3.0,2745.0,11616.0,1293153.0,25,7,2015,0.0,5.0,8.0,1275000.00
2731,2020-01-27,1235253,1294392.9,738505,4.0,4.0,5080.0,209523.6,262400.0,76,34,2018,0.0,8.0,1.0,750000.00
2754,2020-01-27,1231231,850356.1,376255,4.0,2.0,2267.0,46609.2,360300.0,76,36,2018,1.0,3.0,1.0,874690.39
2796,2020-01-27,1242899,363280.69,358959,2.0,2.0,1410.0,7755.0,564764.0,76,18,2016,0.0,2.0,9.0,417086.32
2799,2020-01-27,1235218,554034.64,316623,4.0,2.0,1775.0,9900.0,396654.0,76,23,2017,1.0,6.0,1.0,269522.67
2820,2020-01-22,1244138,183474.18,177000,2.0,2.0,1095.0,2172.0,237151.0,32,32,2019,1.0,5.0,1.0,189074.18
2836,2020-01-21,1237606,839786.26,288118,4.0,2.0,1453.0,5404.0,372691.0,110,4,2010,0.0,3.0,3.0,682485.15
2839,2020-01-21,1234510,429735.7,176127,4.0,3.0,2098.0,7326.0,367616.0,110,5,2010,0.0,8.0,1.0,425000.00
2901,2020-01-21,1234309,229327.33,129050,4.0,2.0,1840.0,10260.0,314051.0,110,86,2019,0.0,3.0,1.0,243440.21
2968,2020-01-14,1244846,433323.03,235242,6.0,5.0,4154.0,21988.0,448114.0,36,5,2015,1.0,3.0,10.0,315000.00
2970,2020-01-14,1247011,466103.15,325601,4.0,2.0,2094.0,8200.0,471498.0,36,32,2019,0.0,11.0,1.0,396950.00
2978,2020-01-14,1247023,987282.73,296887,4.0,2.0,2317.0,4746.0,410673.0,36,31,2019,0.0,2.0,1.0,300300.00
