,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Plaintiff Max Bid
5,2021-02-10,1280094,837070.30,313061,6.0,4.0,3379.0,7407.0,23,6,2017,1.0,5.0,2.0,328800.00
39,2021-02-08,1278771,178186.48,125398,3.0,2.0,1775.0,8475.0,15,13,2020,1.0,6.0,1.0,181862.32
581,2020-11-23,1275642,779817.27,432555,3.0,2.0,1680.0,8125.0,21,14,2019,0.0,3.0,1.0,780161.46
794,2020-10-19,1270512,165643.01,176312,0.0,0.0,1513.0,9424.0,25,21,2019,0.0,3.0,1.0,165643.00
3160,2020-01-07,1241906,303108.22,213053,0.0,0.0,3312.0,93218.4,86,65,2018,0.0,5.0,2.0,303108.22
3422,2019-12-17,1233391,69959.36,152502,3.0,2.0,1736.0,3910.0,28,18,2018,1.0,4.0,1.0,81507.00
3926,2019-11-19,1229006,303108.22,213053,0.0,0.0,3312.0,93218.4,19,16,2018,0.0,5.0,2.0,308200.00
4028,2019-11-12,1222450,708798.92,283598,4.0,2.0,3004.0,6000.0,109,27,2016,1.0,3.0,2.0,300000.00
4349,2019-10-28,1224349,253361.54,254428,0.0,0.0,2264.0,15682.0,58,41,2018,1.0,7.0,1.0,260276.85
4396,2019-10-23,1231269,215569.98,206152,5.0,2.0,1906.0,8840.0,44,6,2016,0.0,5.0,1.0,161500.00
6315,2019-06-26,1215361,113451.09,93781,2.0,1.0,645.0,1250.0,25,11,2018,1.0,8.0,1.0,109819.30
9603,2019-01-07,1175157,516302.28,317384,6.0,3.0,3483.0,9609.0,203,70,2016,1.0,3.0,3.0,387641.04
9734,2018-12-10,1178032,2100897.76,789570,4.0,4.0,3750.0,21600.0,84,39,2017,0.0,5.0,4.0,2175189.27
10588,2018-10-29,1165971,219964.6,189612,3.0,2.0,1364.0,4501.0,84,29,2016,1.0,7.0,4.0,183604.00
10630,2018-10-24,1174835,2174324.54,2401213,0.0,0.0,35919.0,54886.0,31,6,2013,0.0,6.0,1.0,2174324.54
11640,2018-09-12,1165063,533474.3,222620,8.0,4.0,2594.0,5000.0,70,6,2013,0.0,6.0,5.0,408500.00
12071,2018-08-22,1160600,378091.92,313202,4.0,3.0,2346.0,8107.0,52,1,2010,0.0,8.0,7.0,454468.86
13173,2018-07-06,1156604,635928.23,193779,3.0,2.0,1850.0,130680.0,62,41,2017,0.0,3.0,1.0,640412.93
14144,2018-05-21,1143882,402565.02,191000,3.0,2.0,1656.0,1896.0,57,10,2013,1.0,5.0,2.0,483678.59
14796,2018-04-18,1143276,266538.23,124060,2.0,2.0,1678.0,5250.0,25,3,2014,1.0,3.0,3.0,283800.00
15249,2018-04-02,1136147,533474.3,222620,8.0,4.0,2594.0,5000.0,44,6,2013,0.0,6.0,5.0,375000.00
17722,2017-12-13,1119993,272290.75,464531,6.0,3.0,3430.0,7500.0,60,8,2012,0.0,3.0,5.0,318975.11
17790,2017-12-08,1121284,2721210.44,2494967,0.0,0.0,15166.0,67897.0,32,31,2017,0.0,4.0,1.0,2721210.44
17945,2017-12-01,1103877,156606.67,176639,2.0,2.0,1679.0,7000.0,16,5,2015,0.0,17.0,3.0,159973.80
18102,2017-11-21,1108126,420680.44,417560,3.0,2.0,2717.0,15000.0,35,5,2013,0.0,4.0,1.0,340000.00
21751,2017-07-13,1093147,284325.42,131288,3.0,2.0,1290.0,5500.0,16,2,2012,1.0,3.0,6.0,244170.81
22266,2017-06-22,1088364,129193.62,107415,3.0,1.0,1162.0,2210.0,111,50,2017,1.0,4.0,1.0,129979.90
22324,2017-06-21,1086873,378091.92,313202,4.0,3.0,2346.0,8107.0,35,3,2010,0.0,8.0,7.0,238114.83
24460,2017-04-10,1057752,287686.99,229231,4.0,2.0,2466.0,10934.0,83,41,2014,0.0,4.0,1.0,190000.00
