,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
1,2021-02-10,1279838,89850.96,97018,2.0,1.0,867.0,0.0,236701.0,23,2,2014,1.0,2.0,1.0,91100.00
13,2021-02-10,1280452,213137.62,145229,3.0,2.0,1090.0,0.0,242061.0,23,14,2019,1.0,2.0,1.0,182500.00
16,2021-02-10,1282591,13369.40,128824,4.0,3.0,1860.0,2054.0,215678.0,23,17,2020,1.0,2.0,0.0,55100.00
18,2021-02-10,1282588,240764.72,156893,2.0,1.0,900.0,0.0,229928.0,23,19,2020,1.0,2.0,0.0,160100.00
19,2021-02-10,1280196,171588.80,230826,0.0,1.0,438.0,0.0,282947.0,23,20,2020,1.0,4.0,0.0,253000.00
20,2021-02-10,1280855,666665.96,548728,3.0,2.0,2053.0,6000.0,915938.0,23,22,2020,0.0,2.0,0.0,605200.00
21,2021-02-10,1282594,18848.55,345275,2.0,2.0,1263.0,0.0,442620.0,23,23,2020,1.0,1.0,0.0,44700.00
37,2021-02-08,1281247,1469908.96,1174289,3.0,2.0,1764.0,8234.0,1616441.0,15,11,2019,1.0,10.0,0.0,1481400.00
40,2021-02-08,1282177,412854.29,465500,3.0,3.0,1694.0,0.0,349254.0,15,14,2020,1.0,4.0,0.0,490100.00
43,2021-02-03,1280965,764191.64,373137,3.0,3.0,2246.0,8082.02,573837.0,19,2,2017,0.0,4.0,0.0,452200.00
51,2021-02-03,1276193,628673.35,206135,4.0,1.0,1428.0,9169.4,426254.0,19,10,2019,1.0,7.0,0.0,419100.00
59,2021-02-03,1280752,375534.49,381600,3.0,3.0,1825.0,0.0,498240.0,19,18,2020,1.0,6.0,0.0,100100.00
60,2021-02-03,1280967,610253.03,214265,4.0,3.0,2282.0,8785.0,515345.0,19,19,2020,0.0,2.0,0.0,400100.00
