,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Sold Amount
1,2021-02-10,1279838,89850.96,97018,2.0,1.0,867.0,236701.0,23,2,2014,2.0,1.0,91100.00
13,2021-02-10,1280452,213137.62,145229,3.0,2.0,1090.0,242061.0,23,14,2019,2.0,1.0,182500.00
19,2021-02-10,1280196,171588.80,230826,0.0,1.0,438.0,282947.0,23,20,2020,4.0,0.0,253000.00
21,2021-02-10,1282594,18848.55,345275,2.0,2.0,1263.0,442620.0,23,23,2020,1.0,0.0,44700.00
40,2021-02-08,1282177,412854.29,465500,3.0,3.0,1694.0,349254.0,15,14,2020,4.0,0.0,490100.00
81,2021-01-20,1280968,19042.83,133384,1.0,1.0,1057.0,208386.0,37,37,2020,3.0,1.0,61000.0
88,2021-01-20,1280767,213729.18,246600,3.0,2.0,1520.0,423778.0,37,23,2019,3.0,1.0,213800.0
100,2021-01-20,1280966,10319.29,122000,1.0,1.0,730.0,157977.0,37,36,2020,1.0,1.0,97100.0
106,2021-01-20,1280966,10319.29,122000,1.0,1.0,730.0,157977.0,37,36,2020,1.0,1.0,97100.0
132,2021-01-19,1280110,394098.16,273561,0.0,0.0,2425.0,911465.0,41,24,2019,3.0,1.0,400100.0
138,2021-01-19,1280110,394098.16,273561,0.0,0.0,2425.0,911465.0,41,24,2019,3.0,1.0,400100.0
167,2021-01-13,1280854,31932.19,85437,3.0,2.0,1715.0,209838.0,38,26,2019,3.0,2.0,134000.0
175,2021-01-13,1279690,50938.04,44625,1.0,1.0,740.0,93526.0,38,25,2019,3.0,1.0,75100.0
176,2021-01-13,1275628,549578.85,418500,1.0,1.0,778.0,402676.0,38,29,2019,2.0,2.0,500100.0
179,2021-01-13,1279550,12750.3,100425,1.0,1.0,855.0,139211.0,38,37,2020,1.0,1.0,79000.0
182,2021-01-12,1279427,54218.33,322100,2.0,2.0,1622.0,457700.0,41,26,2019,1.0,1.0,108100.0
203,2021-01-12,1278348,65370.15,310800,1.0,1.0,852.0,381160.0,41,19,2018,1.0,2.0,90100.0
209,2021-01-12,1279163,122840.8,15116,1.0,1.0,660.0,60216.0,41,36,2019,2.0,2.0,52100.0
220,2021-01-11,1279099,147012.48,70786,2.0,2.0,1011.0,195921.0,59,41,2019,4.0,1.0,147300.0
245,2021-01-11,1279822,16894.11,61554,2.0,1.0,718.0,111891.0,59,59,2020,1.0,1.0,35100.0
