,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Sold Amount
247,2021-01-11,1278466,375198.67,204578,3.0,2.0,1582.0,59,35,2019,8.0,1.0,211600.0
329,2021-01-06,1278567,90576.03,84244,4.0,3.0,1660.0,75,15,2016,1.0,2.0,90600.0
3378,2020-01-06,1240404,285847.65,171000,2.0,2.0,926.0,211,186,2019,7.0,1.0,171100.0
4148,2019-11-06,1235650,340895.12,225100,4.0,3.0,1464.0,40,36,2019,4.0,1.0,210300.0
6138,2019-07-08,1215533,50734.27,154080,3.0,2.0,1227.0,75,57,2018,3.0,1.0,159300.0
7160,2019-05-08,1207025,6447.75,134625,1.0,1.0,880.0,21,21,2018,1.0,1.0,137200.0
7409,2019-04-23,1202902,77669.76,144200,3.0,2.0,1180.0,19,14,2017,7.0,1.0,162900.0
7752,2019-04-03,1200165,51572.68,590499,3.0,2.0,2324.0,57,57,2019,1.0,1.0,172300.0
8068,2019-03-18,1196155,860750.26,1433718,0.0,0.0,12254.0,78,60,2018,9.0,1.0,1116500.0
8169,2019-03-11,1195776,68670.98,105900,4.0,3.0,1660.0,87,35,2016,2.0,1.0,82400.0
8340,2019-02-27,1182790,356493.98,190624,1.0,1.0,296.0,41,13,2016,3.0,1.0,205300.0
8455,2019-02-25,1191548,249654.13,507150,0.0,0.0,3381.0,65,23,2016,8.0,2.0,361300.0
8721,2019-02-05,1188490,300857.09,320133,2.0,2.0,1129.0,17,15,2017,8.0,1.0,304200.0
8970,2019-01-22,1187950,109398.04,144000,2.0,2.0,910.0,126,73,2017,6.0,1.0,149200.0
8999,2019-01-22,1189833,17593.38,166698,1.0,1.0,766.0,126,99,2017,1.0,1.0,20100.0
9002,2019-01-22,1189873,20524.42,110500,0.0,0.0,873.0,126,92,2017,1.0,1.0,100000.0
9009,2019-01-22,1185078,231113.1,129600,2.0,1.0,1133.0,126,89,2017,4.0,1.0,142600.0
9276,2019-01-09,1186279,347794.01,142058,2.0,2.0,793.0,68,33,2016,3.0,2.0,140100.0
10009,2018-11-26,1177118,144744.23,99831,2.0,2.0,1279.0,93,31,2015,4.0,1.0,60800.0
11083,2018-10-09,1171106,53991.55,82300,2.0,1.0,930.0,70,27,2016,1.0,1.0,54000.0
11453,2018-09-24,1165404,114181.46,165000,0.0,0.0,1100.0,51,49,2017,4.0,1.0,114200.0
11623,2018-09-12,1165774,88262.56,12400,1.0,1.0,660.0,70,19,2015,7.0,1.0,24100.0
14062,2018-05-23,1148249,53753.55,125400,3.0,2.0,1185.0,62,54,2017,2.0,1.0,44800.0
14981,2018-04-11,1141788,26544.28,864550,3.0,3.0,2082.0,64,60,2017,1.0,1.0,155100.0
15215,2018-04-04,1141171,12044.11,151000,2.0,2.0,992.0,29,22,2016,2.0,1.0,22600.0
16602,2018-01-30,1130685,25463.36,469000,3.0,2.0,2265.0,52,47,2017,4.0,1.0,76100.0
16767,2018-01-24,1127856,136843.18,161152,2.0,1.0,954.0,62,50,2016,5.0,2.0,123700.0
17075,2018-01-16,1123979,78181.1,123134,3.0,2.0,1548.0,78,76,2017,4.0,1.0,97400.0
17720,2017-12-13,1122255,338269.0,358500,2.0,2.0,952.0,60,58,2017,4.0,1.0,345100.0
18779,2017-10-18,1112642,354225.87,236990,0.0,0.0,3646.0,58,37,2016,5.0,3.0,226500.0
21376,2017-07-25,1091119,211920.03,108528,3.0,1.0,1167.0,54,51,2016,8.0,1.0,72700.0
22088,2017-06-29,1088427,159964.09,252000,0.0,0.0,2400.0,61,36,2016,2.0,2.0,168100.0
22216,2017-06-26,1078562,229739.94,172183,3.0,2.0,1173.0,36,20,2015,4.0,2.0,133100.0
22778,2017-06-08,1075384,169338.58,120000,3.0,2.0,1169.0,96,29,2015,6.0,1.0,115300.0
22909,2017-06-05,1085115,290747.26,171045,0.0,1.0,639.0,74,17,2013,14.0,5.0,172100.0
23725,2017-05-05,1063363,309208.62,130950,2.0,1.0,968.0,17,8,2015,6.0,1.0,130600.0
23971,2017-04-26,1076347,177395.11,163040,0.0,0.0,1019.0,64,48,2016,3.0,1.0,142900.0
24167,2017-04-20,1074827,112890.64,113850,0.0,0.0,1035.0,93,29,2015,3.0,2.0,79100.0
24175,2017-04-20,1074829,143999.73,102692,0.0,0.0,1035.0,93,31,2015,3.0,2.0,82000.0
24183,2017-04-20,1074828,113239.98,109450,0.0,0.0,995.0,93,30,2015,3.0,2.0,91100.0
24185,2017-04-20,1074830,140310.31,102692,0.0,0.0,1035.0,93,32,2015,3.0,2.0,97000.0
24819,2017-03-29,1055551,80286.27,134156,1.0,1.0,725.0,49,23,2014,6.0,1.0,135100.0
25324,2017-03-10,1062385,303399.99,143510,2.0,2.0,842.0,29,13,2015,4.0,2.0,162100.0
25338,2017-03-10,1062384,210440.96,171710,2.0,2.0,979.0,29,9,2014,7.0,2.0,141000.0
25391,2017-03-08,1066179,179419.22,93600,1.0,2.0,741.0,68,41,2016,5.0,1.0,87000.0
