,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
13,2021-02-10,1280452,213137.62,145229,175500.00,3.0,2.0,1090.0,0.0,242061.0,23,14,2019,1.0,2.0,1.0,182500.00
16,2021-02-10,1282591,13369.40,128824,13369.40,4.0,3.0,1860.0,2054.0,215678.0,23,17,2020,1.0,2.0,0.0,55100.00
19,2021-02-10,1280196,171588.80,230826,173429.59,0.0,1.0,438.0,0.0,282947.0,23,20,2020,1.0,4.0,0.0,253000.00
37,2021-02-08,1281247,1469908.96,1174289,1481370.57,3.0,2.0,1764.0,8234.0,1616441.0,15,11,2019,1.0,10.0,0.0,1481400.00
43,2021-02-03,1280965,764191.64,373137,451950.00,3.0,3.0,2246.0,8082.02,573837.0,19,2,2017,0.0,4.0,0.0,452200.00
81,2021-01-20,1280968,19042.83,133384,19042.83,1.0,1.0,1057.0,0.0,208386.0,37,37,2020,1.0,3.0,1.0,61000.0
88,2021-01-20,1280767,213729.18,246600,213730.00,3.0,2.0,1520.0,0.0,423778.0,37,23,2019,1.0,3.0,1.0,213800.0
100,2021-01-20,1280966,10319.29,122000,10600.00,1.0,1.0,730.0,0.0,157977.0,37,36,2020,1.0,1.0,1.0,97100.0
101,2021-01-20,1279554,1041834.1,492694,799900.00,5.0,3.0,2268.0,15000.0,1085371.0,37,6,2014,0.0,2.0,6.0,800000.0
102,2021-01-20,1279554,1041834.1,492694,799900.00,5.0,3.0,2268.0,15000.0,1085371.0,37,6,2014,0.0,2.0,6.0,800000.0
106,2021-01-20,1280966,10319.29,122000,10600.00,1.0,1.0,730.0,0.0,157977.0,37,36,2020,1.0,1.0,1.0,97100.0
129,2021-01-19,1280269,179424.41,189527,194900.00,3.0,2.0,1798.0,7929.0,311424.0,41,29,2019,0.0,6.0,1.0,247600.0
167,2021-01-13,1280854,31932.19,85437,43811.96,3.0,2.0,1715.0,0.0,209838.0,38,26,2019,1.0,3.0,2.0,134000.0
179,2021-01-13,1279550,12750.3,100425,13454.87,1.0,1.0,855.0,0.0,139211.0,38,37,2020,1.0,1.0,1.0,79000.0
180,2021-01-12,1278356,438129.47,85869,300000.00,4.0,2.0,1789.0,6362.0,332859.0,41,21,2019,1.0,1.0,3.0,300100.0
182,2021-01-12,1279427,54218.33,322100,56582.37,2.0,2.0,1622.0,0.0,457700.0,41,26,2019,1.0,1.0,1.0,108100.0
187,2021-01-12,1278198,35996.08,189746,56553.52,3.0,2.0,1035.0,30100.0,300938.0,41,16,2018,0.0,3.0,5.0,185200.0
203,2021-01-12,1278348,65370.15,310800,69885.18,1.0,1.0,852.0,0.0,381160.0,41,19,2018,1.0,1.0,2.0,90100.0
211,2021-01-12,1278876,12687.84,145625,12687.84,2.0,2.0,1089.0,2520.0,256820.0,41,32,2019,1.0,1.0,1.0,60100.0
220,2021-01-11,1279099,147012.48,70786,130000.00,2.0,2.0,1011.0,0.0,195921.0,59,41,2019,1.0,4.0,1.0,147300.0
234,2021-01-11,1272415,33546.37,33595,50543.83,2.0,1.0,980.0,3675.0,217887.0,59,12,2017,0.0,1.0,4.0,52100.0
237,2021-01-11,1279820,105195.63,46313,108357.76,2.0,1.0,1162.0,5500.0,258596.0,59,31,2019,0.0,4.0,1.0,183100.0
245,2021-01-11,1279822,16894.11,61554,16894.11,2.0,1.0,718.0,0.0,111891.0,59,59,2020,1.0,1.0,1.0,35100.0
248,2021-01-11,1278840,8366.0,172201,8366.00,3.0,2.0,1432.0,2025.0,234040.0,59,28,2019,1.0,5.0,1.0,44100.0
281,2021-01-06,1274734,223590.69,197652,226617.49,1.0,1.0,806.0,0.0,291608.0,75,56,2019,1.0,7.0,1.0,227100.0
319,2021-01-06,1279218,11482.91,192500,11482.91,3.0,2.0,1705.0,1760.0,266478.0,75,10,2016,1.0,2.0,6.0,14200.0
332,2021-01-06,1278921,375886.08,176200,239900.00,4.0,2.0,1820.0,4829.0,324800.0,75,34,2018,1.0,9.0,2.0,275600.0
349,2021-01-05,1279220,28264.5,68009,28600.00,2.0,2.0,1130.0,0.0,136410.0,27,17,2019,1.0,1.0,2.0,28700.0
359,2021-01-04,1275472,142960.83,126600,137475.00,2.0,2.0,861.0,0.0,164960.0,72,46,2019,1.0,5.0,1.0,137500.0
406,2021-01-04,1270038,590291.89,538202,603451.93,5.0,4.0,4081.0,15000.0,726906.0,72,34,2019,0.0,2.0,1.0,603500.0
426,2020-12-16,1277851,12215.68,707800,12285.77,3.0,3.0,1557.0,0.0,818614.0,20,19,2020,1.0,1.0,1.0,235600.0
432,2020-12-16,1277550,289679.85,118842,289000.00,3.0,2.0,1232.0,11001.0,160000.0,20,2,2009,0.0,5.0,6.0,289100.0
434,2020-12-16,1277727,689308.28,180151,342000.00,4.0,2.0,1812.0,2400.0,369367.0,20,8,2017,1.0,3.5,5.0,342100.0
439,2020-12-16,1277724,186687.06,135000,139200.00,3.0,2.0,1070.0,0.0,173866.0,20,5,2016,1.0,4.5,4.0,146100.0
461,2020-12-14,1276503,191828.42,168560,196609.80,2.0,2.0,1160.0,0.0,233830.0,14,5,2018,1.0,9.0,1.0,196700.0
464,2020-12-14,1278775,14981.51,39359,14981.51,2.0,2.0,1040.0,0.0,124930.0,14,7,2019,1.0,1.0,3.0,61200.0
468,2020-12-09,1277083,16531.74,130000,16531.74,2.0,2.0,965.0,0.0,255142.0,5,3,2018,1.0,7.0,2.0,96100.0
495,2020-12-07,1275184,359397.6,257428,379048.50,4.0,2.0,2161.0,5254.0,456194.0,33,25,2019,0.0,2.0,2.0,379100.0
502,2020-12-07,1271792,261005.71,266378,261005.71,3.0,2.0,1463.0,7800.0,395952.0,33,17,2018,0.0,4.0,4.0,335100.0
503,2020-12-07,1276619,246007.44,127815,251969.19,2.0,2.0,1275.0,1920.0,338970.0,33,27,2019,1.0,3.0,2.0,291300.0
517,2020-12-02,1273071,546868.87,213200,187161.76,3.0,2.0,1364.0,0.0,288638.0,5,1,2015,1.0,5.0,2.0,243700.0
543,2020-11-30,1270585,10214.3,79673,18527.31,1.0,1.0,846.0,0.0,128163.0,28,27,2020,1.0,1.0,1.0,91200.0
547,2020-11-30,1271043,402648.04,398534,407900.00,1.0,2.0,912.0,0.0,538546.0,28,21,2019,1.0,3.0,1.0,408000.0
557,2020-11-25,1275048,143001.16,125000,143001.16,2.0,1.0,891.0,0.0,165841.0,10,7,2018,1.0,3.0,3.0,143100.0
564,2020-11-24,1269978,65296.0,111475,72716.00,4.0,2.0,1728.0,7500.0,333109.0,5,5,2020,0.0,2.0,1.0,159600.0
