,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Sold Amount
13,2021-02-10,1280452,213137.62,145229,175500.00,3.0,2.0,1090.0,242061.0,23,14,2019,2.0,1.0,182500.00
19,2021-02-10,1280196,171588.80,230826,173429.59,0.0,1.0,438.0,282947.0,23,20,2020,4.0,0.0,253000.00
81,2021-01-20,1280968,19042.83,133384,19042.83,1.0,1.0,1057.0,208386.0,37,37,2020,3.0,1.0,61000.0
88,2021-01-20,1280767,213729.18,246600,213730.00,3.0,2.0,1520.0,423778.0,37,23,2019,3.0,1.0,213800.0
100,2021-01-20,1280966,10319.29,122000,10600.00,1.0,1.0,730.0,157977.0,37,36,2020,1.0,1.0,97100.0
106,2021-01-20,1280966,10319.29,122000,10600.00,1.0,1.0,730.0,157977.0,37,36,2020,1.0,1.0,97100.0
167,2021-01-13,1280854,31932.19,85437,43811.96,3.0,2.0,1715.0,209838.0,38,26,2019,3.0,2.0,134000.0
179,2021-01-13,1279550,12750.3,100425,13454.87,1.0,1.0,855.0,139211.0,38,37,2020,1.0,1.0,79000.0
182,2021-01-12,1279427,54218.33,322100,56582.37,2.0,2.0,1622.0,457700.0,41,26,2019,1.0,1.0,108100.0
203,2021-01-12,1278348,65370.15,310800,69885.18,1.0,1.0,852.0,381160.0,41,19,2018,1.0,2.0,90100.0
220,2021-01-11,1279099,147012.48,70786,130000.00,2.0,2.0,1011.0,195921.0,59,41,2019,4.0,1.0,147300.0
245,2021-01-11,1279822,16894.11,61554,16894.11,2.0,1.0,718.0,111891.0,59,59,2020,1.0,1.0,35100.0
281,2021-01-06,1274734,223590.69,197652,226617.49,1.0,1.0,806.0,291608.0,75,56,2019,7.0,1.0,227100.0
349,2021-01-05,1279220,28264.5,68009,28600.00,2.0,2.0,1130.0,136410.0,27,17,2019,1.0,2.0,28700.0
359,2021-01-04,1275472,142960.83,126600,137475.00,2.0,2.0,861.0,164960.0,72,46,2019,5.0,1.0,137500.0
426,2020-12-16,1277851,12215.68,707800,12285.77,3.0,3.0,1557.0,818614.0,20,19,2020,1.0,1.0,235600.0
439,2020-12-16,1277724,186687.06,135000,139200.00,3.0,2.0,1070.0,173866.0,20,5,2016,4.5,4.0,146100.0
461,2020-12-14,1276503,191828.42,168560,196609.80,2.0,2.0,1160.0,233830.0,14,5,2018,9.0,1.0,196700.0
