,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Sold Amount
4148,2019-11-06,1235650,340895.12,225100,195000.00,4.0,3.0,1464.0,40,36,2019,4.0,1.0,210300.0
8068,2019-03-18,1196155,860750.26,1433718,867766.20,0.0,0.0,12254.0,78,60,2018,9.0,1.0,1116500.0
8340,2019-02-27,1182790,356493.98,190624,182750.00,1.0,1.0,296.0,41,13,2016,3.0,1.0,205300.0
8455,2019-02-25,1191548,249654.13,507150,253254.00,0.0,0.0,3381.0,65,23,2016,8.0,2.0,361300.0
8999,2019-01-22,1189833,17593.38,166698,17593.38,1.0,1.0,766.0,126,99,2017,1.0,1.0,20100.0
9002,2019-01-22,1189873,20524.42,110500,20524.42,0.0,0.0,873.0,126,92,2017,1.0,1.0,100000.0
9009,2019-01-22,1185078,231113.1,129600,142560.00,2.0,1.0,1133.0,126,89,2017,4.0,1.0,142600.0
11453,2018-09-24,1165404,114181.46,165000,114181.46,0.0,0.0,1100.0,51,49,2017,4.0,1.0,114200.0
14062,2018-05-23,1148249,53753.55,125400,43000.00,3.0,2.0,1185.0,62,54,2017,2.0,1.0,44800.0
16602,2018-01-30,1130685,25463.36,469000,25463.36,3.0,2.0,2265.0,52,47,2017,4.0,1.0,76100.0
17720,2017-12-13,1122255,338269.0,358500,338269.00,2.0,2.0,952.0,60,58,2017,4.0,1.0,345100.0
18779,2017-10-18,1112642,354225.87,236990,190000.00,0.0,0.0,3646.0,58,37,2016,5.0,3.0,226500.0
21376,2017-07-25,1091119,211920.03,108528,46777.00,3.0,1.0,1167.0,54,51,2016,8.0,1.0,72700.0
22216,2017-06-26,1078562,229739.94,172183,133000.00,3.0,2.0,1173.0,36,20,2015,4.0,2.0,133100.0
23725,2017-05-05,1063363,309208.62,130950,121500.00,2.0,1.0,968.0,17,8,2015,6.0,1.0,130600.0
23971,2017-04-26,1076347,177395.11,163040,133000.00,0.0,0.0,1019.0,64,48,2016,3.0,1.0,142900.0
24167,2017-04-20,1074827,112890.64,113850,68000.00,0.0,0.0,1035.0,93,29,2015,3.0,2.0,79100.0
24175,2017-04-20,1074829,143999.73,102692,67000.00,0.0,0.0,1035.0,93,31,2015,3.0,2.0,82000.0
24183,2017-04-20,1074828,113239.98,109450,72000.00,0.0,0.0,995.0,93,30,2015,3.0,2.0,91100.0
24185,2017-04-20,1074830,140310.31,102692,75000.00,0.0,0.0,1035.0,93,32,2015,3.0,2.0,97000.0
25324,2017-03-10,1062385,303399.99,143510,162000.00,2.0,2.0,842.0,29,13,2015,4.0,2.0,162100.0
25338,2017-03-10,1062384,210440.96,171710,120377.00,2.0,2.0,979.0,29,9,2014,7.0,2.0,141000.0
25391,2017-03-08,1066179,179419.22,93600,84066.00,1.0,2.0,741.0,68,41,2016,5.0,1.0,87000.0
