,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
16,2021-02-10,1282591,13369.40,128824,13369.40,4.0,3.0,1860.0,2054.0,215678.0,23,17,2020,1.0,2.0,0.0,55100.00
37,2021-02-08,1281247,1469908.96,1174289,1481370.57,3.0,2.0,1764.0,8234.0,1616441.0,15,11,2019,1.0,10.0,0.0,1481400.00
43,2021-02-03,1280965,764191.64,373137,451950.00,3.0,3.0,2246.0,8082.02,573837.0,19,2,2017,0.0,4.0,0.0,452200.00
101,2021-01-20,1279554,1041834.1,492694,799900.00,5.0,3.0,2268.0,15000.0,1085371.0,37,6,2014,0.0,2.0,6.0,800000.0
102,2021-01-20,1279554,1041834.1,492694,799900.00,5.0,3.0,2268.0,15000.0,1085371.0,37,6,2014,0.0,2.0,6.0,800000.0
129,2021-01-19,1280269,179424.41,189527,194900.00,3.0,2.0,1798.0,7929.0,311424.0,41,29,2019,0.0,6.0,1.0,247600.0
180,2021-01-12,1278356,438129.47,85869,300000.00,4.0,2.0,1789.0,6362.0,332859.0,41,21,2019,1.0,1.0,3.0,300100.0
187,2021-01-12,1278198,35996.08,189746,56553.52,3.0,2.0,1035.0,30100.0,300938.0,41,16,2018,0.0,3.0,5.0,185200.0
211,2021-01-12,1278876,12687.84,145625,12687.84,2.0,2.0,1089.0,2520.0,256820.0,41,32,2019,1.0,1.0,1.0,60100.0
234,2021-01-11,1272415,33546.37,33595,50543.83,2.0,1.0,980.0,3675.0,217887.0,59,12,2017,0.0,1.0,4.0,52100.0
237,2021-01-11,1279820,105195.63,46313,108357.76,2.0,1.0,1162.0,5500.0,258596.0,59,31,2019,0.0,4.0,1.0,183100.0
248,2021-01-11,1278840,8366.0,172201,8366.00,3.0,2.0,1432.0,2025.0,234040.0,59,28,2019,1.0,5.0,1.0,44100.0
319,2021-01-06,1279218,11482.91,192500,11482.91,3.0,2.0,1705.0,1760.0,266478.0,75,10,2016,1.0,2.0,6.0,14200.0
332,2021-01-06,1278921,375886.08,176200,239900.00,4.0,2.0,1820.0,4829.0,324800.0,75,34,2018,1.0,9.0,2.0,275600.0
406,2021-01-04,1270038,590291.89,538202,603451.93,5.0,4.0,4081.0,15000.0,726906.0,72,34,2019,0.0,2.0,1.0,603500.0
432,2020-12-16,1277550,289679.85,118842,289000.00,3.0,2.0,1232.0,11001.0,160000.0,20,2,2009,0.0,5.0,6.0,289100.0
434,2020-12-16,1277727,689308.28,180151,342000.00,4.0,2.0,1812.0,2400.0,369367.0,20,8,2017,1.0,3.5,5.0,342100.0
495,2020-12-07,1275184,359397.6,257428,379048.50,4.0,2.0,2161.0,5254.0,456194.0,33,25,2019,0.0,2.0,2.0,379100.0
502,2020-12-07,1271792,261005.71,266378,261005.71,3.0,2.0,1463.0,7800.0,395952.0,33,17,2018,0.0,4.0,4.0,335100.0
503,2020-12-07,1276619,246007.44,127815,251969.19,2.0,2.0,1275.0,1920.0,338970.0,33,27,2019,1.0,3.0,2.0,291300.0
564,2020-11-24,1269978,65296.0,111475,72716.00,4.0,2.0,1728.0,7500.0,333109.0,5,5,2020,0.0,2.0,1.0,159600.0
572,2020-11-23,1275554,7090.06,199700,7090.06,3.0,2.0,1565.0,1760.0,248570.0,21,21,2020,1.0,1.0,1.0,27100.0
582,2020-11-23,1276167,332093.86,93674,211650.00,4.0,3.0,1811.0,1896.0,254993.0,21,12,2019,1.0,5.0,1.0,222300.0
637,2020-11-10,1273564,333547.5,336882,300000.00,4.0,3.0,2417.0,6020.0,443961.0,31,21,2019,0.0,2.0,4.0,342400.0
638,2020-11-10,1274735,94781.61,2790720,94781.61,3.0,4.0,3529.0,1.0,5168404.0,31,27,2019,1.0,1.0,1.0,235100.0
640,2020-11-10,1273654,376538.03,264002,300000.00,3.0,2.0,1357.0,7500.0,400713.0,31,6,2016,1.0,4.0,5.0,321100.0
651,2020-11-10,1275437,156423.95,161334,159878.09,2.0,1.0,1189.0,7000.0,252102.0,31,20,2019,0.0,2.0,1.0,178100.0
655,2020-11-10,1272946,135174.33,168390,180074.33,3.0,2.0,1380.0,6450.0,278263.0,31,26,2019,0.0,2.0,5.0,180100.0
689,2020-11-03,1271183,178077.41,702298,183358.79,4.0,3.0,2426.0,15146.0,916833.0,8,6,2019,0.0,1.0,2.0,190100.0
690,2020-11-03,1269525,277088.79,147355,268800.00,3.0,3.0,1512.0,2400.0,338142.0,8,1,2014,1.0,6.0,8.0,290200.0
732,2020-10-27,1272523,398092.95,405856,398092.95,3.0,1.0,1866.0,8000.0,732359.0,15,3,2014,0.0,7.0,10.0,636100.0
735,2020-10-27,1273124,204432.76,174328,201000.00,3.0,1.0,816.0,10080.0,258057.0,15,11,2019,0.0,3.0,1.0,218100.0
755,2020-10-21,1271152,305101.81,157667,249900.00,3.0,2.0,1287.0,8800.0,397174.0,27,1,2010,0.0,1.0,2.0,281100.0
756,2020-10-21,1272992,8410.15,175001,8410.15,2.0,2.0,1130.0,1485.0,229488.0,27,21,2019,1.0,1.0,1.0,65000.0
790,2020-10-19,1270517,181595.32,75068,131250.00,3.0,2.0,1591.0,6890.0,284089.0,25,5,2018,0.0,7.0,1.0,208100.0
791,2020-10-19,1267887,434733.78,273736,296700.00,4.0,3.0,1874.0,6750.0,394493.0,25,18,2019,0.0,4.0,1.0,296800.0
796,2020-10-19,1267735,255977.92,239446,259900.00,3.0,2.0,1898.0,4243.0,342236.0,25,12,2019,1.0,2.5,2.0,260000.0
816,2020-10-13,1268057,314474.96,137760,311797.00,3.0,2.0,1292.0,7425.0,434672.0,31,21,2019,1.0,3.0,2.0,329200.0
827,2020-10-13,1269619,226844.4,171020,226844.40,3.0,2.0,1231.0,5121.0,249901.0,31,22,2019,0.0,2.0,4.0,230000.0
846,2020-10-06,1267732,240075.09,134512,235000.00,4.0,2.0,1512.0,8250.0,290751.0,2,1,2017,0.0,7.0,2.0,266100.0
855,2020-10-05,1271494,79855.21,82982,79855.21,3.0,2.0,1456.0,5300.0,259315.0,22,19,2019,0.0,3.0,3.0,201100.0
860,2020-10-05,1268771,942109.38,428431,433500.00,5.0,4.0,2944.0,6304.0,550851.0,22,16,2019,0.0,9.0,4.0,452100.0
885,2020-09-29,1269628,131704.58,125090,141142.00,3.0,2.0,2158.0,7875.0,325036.0,20,10,2018,0.0,2.0,3.0,192100.0
887,2020-09-29,1268056,43121.48,74608,44928.91,3.0,2.0,1126.0,6950.0,261412.0,20,12,2019,0.0,8.0,2.0,180600.0
920,2020-09-21,1268317,246007.44,127815,248952.87,2.0,2.0,1275.0,1920.0,330921.0,13,10,2019,1.0,3.0,2.0,251600.0
997,2020-07-06,1258524,275301.69,235770,275301.69,3.0,2.0,1146.0,2977.0,331858.0,13,1,2009,0.0,8.0,18.0,275400.0
2083,2020-03-10,1251896,504081.0,311002,291923.56,4.0,2.0,2168.0,4360.0,399447.0,55,5,2014,1.0,5.0,6.0,319600.0
2161,2020-03-09,1239687,73430.92,53879,75609.69,2.0,2.0,910.0,2610.0,194369.0,66,28,2017,1.0,13.0,1.0,135100.0
2188,2020-03-04,1252459,225821.06,93819,78650.00,2.0,1.0,859.0,3500.0,158341.0,57,40,2019,1.0,8.0,1.0,123500.0
2207,2020-03-04,1252463,573275.61,519952,449000.00,5.0,3.0,3026.0,5500.0,623852.0,57,31,2018,1.0,2.0,1.0,449100.0
2255,2020-03-02,1245673,433766.14,251345,276494.55,4.0,2.0,2023.0,8480.0,436527.0,59,12,2017,1.0,6.0,4.0,366600.0
