,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
18,2021-02-10,1282588,240764.72,156893,235000.00,2.0,1.0,900.0,0.0,229928.0,23,19,2020,1.0,2.0,0.0,160100.00
59,2021-02-03,1280752,375534.49,381600,330018.00,3.0,3.0,1825.0,0.0,498240.0,19,18,2020,1.0,6.0,0.0,100100.00
73,2021-01-20,1278911,584960.91,102287,584960.91,2.0,1.0,1098.0,7860.0,257978.0,37,14,2018,0.0,10.0,2.0,100100.0
74,2021-01-20,1280182,477116.59,354197,439762.51,2.0,2.0,1088.0,0.0,413116.0,37,34,2020,1.0,2.0,1.0,300100.0
75,2021-01-20,1279509,1146160.78,674925,712900.00,4.0,3.0,2736.0,45738.0,997086.0,37,7,2016,0.0,7.0,5.0,662100.0
78,2021-01-20,1279213,1635728.88,898012,1070100.00,4.0,4.0,3764.0,435600.0,1553264.0,37,10,2017,0.0,5.0,5.0,700100.0
82,2021-01-20,1279337,178077.41,702298,178077.41,4.0,3.0,2426.0,15146.0,928666.0,37,20,2019,0.0,1.0,2.0,169100.0
86,2021-01-20,1279794,216647.9,65965,178000.00,2.0,1.0,1392.0,5040.0,173063.0,37,21,2019,0.0,1.0,2.0,1100.0
92,2021-01-20,1276323,540474.09,265640,305000.00,2.0,2.0,1212.0,0.0,370968.0,37,27,2019,1.0,4.0,1.0,125100.0
116,2021-01-19,1280508,430726.23,175401,481500.00,2.0,1.0,1270.0,7586.0,448514.0,41,3,2011,0.0,3.0,7.0,365800.0
119,2021-01-19,1279800,315627.0,259477,315627.00,3.0,2.0,1526.0,4750.0,376891.0,41,20,2018,0.0,9.0,1.0,120100.0
120,2021-01-19,1276925,190303.21,188300,197571.23,1.0,1.0,709.0,0.0,866381.0,41,40,2020,1.0,3.0,1.0,91800.0
141,2021-01-19,1280508,430726.23,175401,481500.00,2.0,1.0,1270.0,7586.0,448514.0,41,3,2011,0.0,3.0,7.0,365800.0
150,2021-01-13,1279200,1156745.09,723642,1236829.15,6.0,3.0,2931.0,16800.0,779475.0,38,13,2017,0.0,4.0,3.0,650100.0
151,2021-01-13,1279169,322444.3,205247,326229.10,3.0,2.0,1897.0,6448.0,291155.0,38,12,2017,1.0,7.0,1.0,215500.0
165,2021-01-13,1279924,357990.62,84526,146974.30,2.0,2.0,1150.0,0.0,149391.0,38,24,2019,1.0,4.0,1.0,6200.0
169,2021-01-13,1275592,494176.33,148018,320000.00,3.0,2.0,1505.0,4646.0,366368.0,38,10,2016,1.0,5.0,2.0,50100.0
184,2021-01-12,1279549,595743.8,403978,595743.80,5.0,4.0,3945.0,7761.0,587610.0,41,27,2019,1.0,4.0,2.0,460200.0
185,2021-01-12,1279700,59531.03,114000,59531.03,2.0,2.0,1405.0,0.0,167102.0,41,28,2019,1.0,4.0,1.0,100.0
186,2021-01-12,1278123,152258.82,76093,156600.00,2.0,1.0,840.0,0.0,177801.0,41,29,2019,1.0,8.0,2.0,35100.0
195,2021-01-12,1278725,358365.45,178000,216000.00,2.0,2.0,960.0,0.0,231028.0,41,11,2018,1.0,9.0,2.0,175100.0
197,2021-01-12,1280851,1590667.72,955500,1500000.00,4.0,4.0,1871.0,0.0,350918.0,41,39,2020,1.0,5.0,1.0,12100.0
208,2021-01-12,1277092,367285.94,322000,300000.00,2.0,1.0,988.0,0.0,328275.0,41,35,2019,1.0,4.0,1.0,265100.0
221,2021-01-11,1277733,341966.65,171249,265000.00,3.0,2.0,1349.0,6700.0,325323.0,59,7,2015,1.0,6.0,16.0,2400.0
224,2021-01-11,1272001,621241.69,276200,302700.00,2.0,2.0,1175.0,0.0,324968.0,59,18,2018,1.0,5.0,2.0,100.0
258,2021-01-11,1278121,98747.04,27003,98747.04,2.0,2.0,895.0,0.0,129682.0,59,11,2016,1.0,5.0,6.0,13100.0
261,2021-01-11,1276333,202678.78,211500,210230.65,1.0,1.0,692.0,0.0,304934.0,59,55,2020,1.0,3.0,1.0,1600.0
267,2021-01-06,1278743,668737.7,198916,673583.76,2.0,1.0,1546.0,11072.0,447962.0,75,7,2014,0.0,1.0,1.0,180100.0
272,2021-01-06,1278072,767681.99,416244,769015.16,4.0,3.0,3457.0,5606.72,908719.0,75,29,2018,0.0,2.0,1.0,478100.0
283,2021-01-06,1276188,190403.21,179100,197539.42,1.0,1.0,692.0,0.0,866381.0,75,74,2020,1.0,3.0,1.0,101100.0
315,2021-01-06,1275433,543494.04,206000,220800.00,3.0,2.0,1420.0,0.0,283469.0,75,58,2019,1.0,4.0,1.0,122700.0
321,2021-01-06,1273997,725404.55,366081,549500.00,4.0,2.0,2458.0,11629.0,458615.0,75,60,2019,0.0,8.0,1.0,310100.0
323,2021-01-06,1278152,286128.55,164800,211000.00,1.0,1.0,667.0,0.0,204478.0,75,68,2019,1.0,4.0,1.0,2100.0
331,2021-01-06,1278113,501242.11,243971,364800.00,3.0,2.0,1780.0,4606.0,307070.0,75,3,2012,0.0,7.0,2.0,169100.0
347,2021-01-05,1278078,276256.02,126700,153000.00,2.0,2.0,1080.0,0.0,253390.0,27,25,2020,1.0,3.0,1.0,110800.0
350,2021-01-05,1278202,714827.54,733922,730000.00,4.0,2.0,2539.0,15167.0,1284952.0,27,21,2019,0.0,4.0,1.0,369100.0
380,2021-01-04,1278721,659139.24,414900,441000.00,1.0,1.0,808.0,0.0,267463.0,72,24,2018,1.0,5.0,3.0,355100.0
389,2021-01-04,1272589,781276.05,365616,513450.00,3.0,2.0,1876.0,7500.0,490871.0,72,29,2018,0.0,6.0,2.0,369100.0
390,2021-01-04,1269272,427228.85,247762,340000.00,3.0,2.0,1344.0,3278.0,350776.0,72,50,2019,0.0,4.0,1.0,240100.0
399,2021-01-04,1278746,707414.23,630538,732308.54,4.0,4.0,3624.0,4885.0,784562.0,72,65,2020,1.0,8.0,2.0,444200.0
419,2021-01-04,1276233,191236.9,174800,198121.43,1.0,1.0,651.0,0.0,268435.0,72,70,2020,1.0,3.0,1.0,3100.0
438,2020-12-16,1273001,582980.19,717000,582980.19,0.0,0.0,1925.0,0.0,214709.0,20,16,2020,1.0,6.0,1.0,100.0
443,2020-12-15,1277102,734976.46,591120,600000.00,2.0,2.0,1800.0,0.0,752171.0,11,5,2019,1.0,11.0,1.0,450100.0
453,2020-12-14,1278442,694264.48,264704,325000.00,3.0,2.0,1425.0,4413.0,369014.0,14,9,2019,0.0,7.0,1.0,9100.0
