,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
16,2021-02-10,1282591,13369.40,128824,13369.40,4.0,3.0,1860.0,2054.0,215678.0,23,17,2020,1.0,2.0,0.0,55100.00
37,2021-02-08,1281247,1469908.96,1174289,1481370.57,3.0,2.0,1764.0,8234.0,1616441.0,15,11,2019,1.0,10.0,0.0,1481400.00
43,2021-02-03,1280965,764191.64,373137,451950.00,3.0,3.0,2246.0,8082.02,573837.0,19,2,2017,0.0,4.0,0.0,452200.00
73,2021-01-20,1278911,584960.91,102287,584960.91,2.0,1.0,1098.0,7860.0,257978.0,37,14,2018,0.0,10.0,2.0,100100.0
75,2021-01-20,1279509,1146160.78,674925,712900.00,4.0,3.0,2736.0,45738.0,997086.0,37,7,2016,0.0,7.0,5.0,662100.0
78,2021-01-20,1279213,1635728.88,898012,1070100.00,4.0,4.0,3764.0,435600.0,1553264.0,37,10,2017,0.0,5.0,5.0,700100.0
82,2021-01-20,1279337,178077.41,702298,178077.41,4.0,3.0,2426.0,15146.0,928666.0,37,20,2019,0.0,1.0,2.0,169100.0
86,2021-01-20,1279794,216647.9,65965,178000.00,2.0,1.0,1392.0,5040.0,173063.0,37,21,2019,0.0,1.0,2.0,1100.0
101,2021-01-20,1279554,1041834.1,492694,799900.00,5.0,3.0,2268.0,15000.0,1085371.0,37,6,2014,0.0,2.0,6.0,800000.0
102,2021-01-20,1279554,1041834.1,492694,799900.00,5.0,3.0,2268.0,15000.0,1085371.0,37,6,2014,0.0,2.0,6.0,800000.0
116,2021-01-19,1280508,430726.23,175401,481500.00,2.0,1.0,1270.0,7586.0,448514.0,41,3,2011,0.0,3.0,7.0,365800.0
119,2021-01-19,1279800,315627.0,259477,315627.00,3.0,2.0,1526.0,4750.0,376891.0,41,20,2018,0.0,9.0,1.0,120100.0
129,2021-01-19,1280269,179424.41,189527,194900.00,3.0,2.0,1798.0,7929.0,311424.0,41,29,2019,0.0,6.0,1.0,247600.0
141,2021-01-19,1280508,430726.23,175401,481500.00,2.0,1.0,1270.0,7586.0,448514.0,41,3,2011,0.0,3.0,7.0,365800.0
150,2021-01-13,1279200,1156745.09,723642,1236829.15,6.0,3.0,2931.0,16800.0,779475.0,38,13,2017,0.0,4.0,3.0,650100.0
151,2021-01-13,1279169,322444.3,205247,326229.10,3.0,2.0,1897.0,6448.0,291155.0,38,12,2017,1.0,7.0,1.0,215500.0
169,2021-01-13,1275592,494176.33,148018,320000.00,3.0,2.0,1505.0,4646.0,366368.0,38,10,2016,1.0,5.0,2.0,50100.0
180,2021-01-12,1278356,438129.47,85869,300000.00,4.0,2.0,1789.0,6362.0,332859.0,41,21,2019,1.0,1.0,3.0,300100.0
184,2021-01-12,1279549,595743.8,403978,595743.80,5.0,4.0,3945.0,7761.0,587610.0,41,27,2019,1.0,4.0,2.0,460200.0
187,2021-01-12,1278198,35996.08,189746,56553.52,3.0,2.0,1035.0,30100.0,300938.0,41,16,2018,0.0,3.0,5.0,185200.0
211,2021-01-12,1278876,12687.84,145625,12687.84,2.0,2.0,1089.0,2520.0,256820.0,41,32,2019,1.0,1.0,1.0,60100.0
221,2021-01-11,1277733,341966.65,171249,265000.00,3.0,2.0,1349.0,6700.0,325323.0,59,7,2015,1.0,6.0,16.0,2400.0
234,2021-01-11,1272415,33546.37,33595,50543.83,2.0,1.0,980.0,3675.0,217887.0,59,12,2017,0.0,1.0,4.0,52100.0
237,2021-01-11,1279820,105195.63,46313,108357.76,2.0,1.0,1162.0,5500.0,258596.0,59,31,2019,0.0,4.0,1.0,183100.0
248,2021-01-11,1278840,8366.0,172201,8366.00,3.0,2.0,1432.0,2025.0,234040.0,59,28,2019,1.0,5.0,1.0,44100.0
267,2021-01-06,1278743,668737.7,198916,673583.76,2.0,1.0,1546.0,11072.0,447962.0,75,7,2014,0.0,1.0,1.0,180100.0
272,2021-01-06,1278072,767681.99,416244,769015.16,4.0,3.0,3457.0,5606.72,908719.0,75,29,2018,0.0,2.0,1.0,478100.0
319,2021-01-06,1279218,11482.91,192500,11482.91,3.0,2.0,1705.0,1760.0,266478.0,75,10,2016,1.0,2.0,6.0,14200.0
321,2021-01-06,1273997,725404.55,366081,549500.00,4.0,2.0,2458.0,11629.0,458615.0,75,60,2019,0.0,8.0,1.0,310100.0
331,2021-01-06,1278113,501242.11,243971,364800.00,3.0,2.0,1780.0,4606.0,307070.0,75,3,2012,0.0,7.0,2.0,169100.0
332,2021-01-06,1278921,375886.08,176200,239900.00,4.0,2.0,1820.0,4829.0,324800.0,75,34,2018,1.0,9.0,2.0,275600.0
350,2021-01-05,1278202,714827.54,733922,730000.00,4.0,2.0,2539.0,15167.0,1284952.0,27,21,2019,0.0,4.0,1.0,369100.0
389,2021-01-04,1272589,781276.05,365616,513450.00,3.0,2.0,1876.0,7500.0,490871.0,72,29,2018,0.0,6.0,2.0,369100.0
390,2021-01-04,1269272,427228.85,247762,340000.00,3.0,2.0,1344.0,3278.0,350776.0,72,50,2019,0.0,4.0,1.0,240100.0
399,2021-01-04,1278746,707414.23,630538,732308.54,4.0,4.0,3624.0,4885.0,784562.0,72,65,2020,1.0,8.0,2.0,444200.0
406,2021-01-04,1270038,590291.89,538202,603451.93,5.0,4.0,4081.0,15000.0,726906.0,72,34,2019,0.0,2.0,1.0,603500.0
432,2020-12-16,1277550,289679.85,118842,289000.00,3.0,2.0,1232.0,11001.0,160000.0,20,2,2009,0.0,5.0,6.0,289100.0
434,2020-12-16,1277727,689308.28,180151,342000.00,4.0,2.0,1812.0,2400.0,369367.0,20,8,2017,1.0,3.5,5.0,342100.0
453,2020-12-14,1278442,694264.48,264704,325000.00,3.0,2.0,1425.0,4413.0,369014.0,14,9,2019,0.0,7.0,1.0,9100.0
467,2020-12-09,1273825,299146.19,171761,299146.19,3.0,2.0,2256.0,7822.0,516402.0,5,2,2015,0.0,2.0,3.0,330100.0
481,2020-12-08,1272091,1780096.53,752110,1500000.00,0.0,10.0,10293.0,32250.0,299128.0,16,12,2019,0.0,3.0,2.0,860100.0
483,2020-12-08,1277731,373030.86,456005,378900.64,3.0,3.0,1886.0,12478.0,582622.0,16,14,2019,0.0,3.0,1.0,269100.0
495,2020-12-07,1275184,359397.6,257428,379048.50,4.0,2.0,2161.0,5254.0,456194.0,33,25,2019,0.0,2.0,2.0,379100.0
499,2020-12-07,1275939,302362.53,214923,300000.00,2.0,2.0,1372.0,9223.0,315829.0,33,14,2018,0.0,5.0,1.0,220100.0
502,2020-12-07,1271792,261005.71,266378,261005.71,3.0,2.0,1463.0,7800.0,395952.0,33,17,2018,0.0,4.0,4.0,335100.0
503,2020-12-07,1276619,246007.44,127815,251969.19,2.0,2.0,1275.0,1920.0,338970.0,33,27,2019,1.0,3.0,2.0,291300.0
504,2020-12-07,1276371,493720.36,282294,517172.08,2.0,2.0,2700.0,54450.0,570560.0,33,8,2017,0.0,19.0,6.0,369100.0
541,2020-11-30,1276177,1251368.58,910737,1251368.58,5.0,4.0,2739.0,7500.0,1988055.0,28,15,2019,0.0,3.0,1.0,900100.0
563,2020-11-25,1276128,311975.66,175386,370800.00,4.0,2.0,1883.0,4802.0,411422.0,10,1,2008,1.0,5.0,5.0,320300.0
564,2020-11-24,1269978,65296.0,111475,72716.00,4.0,2.0,1728.0,7500.0,333109.0,5,5,2020,0.0,2.0,1.0,159600.0
