,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Sold Amount
1,2021-02-10,1279838,89850.96,97018,2.0,1.0,867.0,236701.0,23,2,2014,2.0,1.0,91100.00
13,2021-02-10,1280452,213137.62,145229,3.0,2.0,1090.0,242061.0,23,14,2019,2.0,1.0,182500.00
18,2021-02-10,1282588,240764.72,156893,2.0,1.0,900.0,229928.0,23,19,2020,2.0,0.0,160100.00
19,2021-02-10,1280196,171588.80,230826,0.0,1.0,438.0,282947.0,23,20,2020,4.0,0.0,253000.00
21,2021-02-10,1282594,18848.55,345275,2.0,2.0,1263.0,442620.0,23,23,2020,1.0,0.0,44700.00
40,2021-02-08,1282177,412854.29,465500,3.0,3.0,1694.0,349254.0,15,14,2020,4.0,0.0,490100.00
59,2021-02-03,1280752,375534.49,381600,3.0,3.0,1825.0,498240.0,19,18,2020,6.0,0.0,100100.00
74,2021-01-20,1280182,477116.59,354197,2.0,2.0,1088.0,413116.0,37,34,2020,2.0,1.0,300100.0
81,2021-01-20,1280968,19042.83,133384,1.0,1.0,1057.0,208386.0,37,37,2020,3.0,1.0,61000.0
88,2021-01-20,1280767,213729.18,246600,3.0,2.0,1520.0,423778.0,37,23,2019,3.0,1.0,213800.0
92,2021-01-20,1276323,540474.09,265640,2.0,2.0,1212.0,370968.0,37,27,2019,4.0,1.0,125100.0
93,2021-01-20,1280270,146218.83,93380,1.0,1.0,676.0,154525.0,37,28,2019,10.0,1.0,120000.0
100,2021-01-20,1280966,10319.29,122000,1.0,1.0,730.0,157977.0,37,36,2020,1.0,1.0,97100.0
106,2021-01-20,1280966,10319.29,122000,1.0,1.0,730.0,157977.0,37,36,2020,1.0,1.0,97100.0
120,2021-01-19,1276925,190303.21,188300,1.0,1.0,709.0,866381.0,41,40,2020,3.0,1.0,91800.0
123,2021-01-19,1280883,305560.53,190185,1.0,1.0,500.0,228533.0,41,10,2018,3.0,1.0,171300.0
124,2021-01-19,1274163,61071.39,160259,1.0,1.0,664.0,170790.0,41,22,2019,2.0,3.0,40100.0
132,2021-01-19,1280110,394098.16,273561,0.0,0.0,2425.0,911465.0,41,24,2019,3.0,1.0,400100.0
138,2021-01-19,1280110,394098.16,273561,0.0,0.0,2425.0,911465.0,41,24,2019,3.0,1.0,400100.0
165,2021-01-13,1279924,357990.62,84526,2.0,2.0,1150.0,149391.0,38,24,2019,4.0,1.0,6200.0
