,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Sold Amount
18,2021-02-10,1282588,240764.72,156893,2.0,1.0,900.0,229928.0,23,19,2020,2.0,0.0,160100.00
59,2021-02-03,1280752,375534.49,381600,3.0,3.0,1825.0,498240.0,19,18,2020,6.0,0.0,100100.00
74,2021-01-20,1280182,477116.59,354197,2.0,2.0,1088.0,413116.0,37,34,2020,2.0,1.0,300100.0
92,2021-01-20,1276323,540474.09,265640,2.0,2.0,1212.0,370968.0,37,27,2019,4.0,1.0,125100.0
93,2021-01-20,1280270,146218.83,93380,1.0,1.0,676.0,154525.0,37,28,2019,10.0,1.0,120000.0
120,2021-01-19,1276925,190303.21,188300,1.0,1.0,709.0,866381.0,41,40,2020,3.0,1.0,91800.0
123,2021-01-19,1280883,305560.53,190185,1.0,1.0,500.0,228533.0,41,10,2018,3.0,1.0,171300.0
124,2021-01-19,1274163,61071.39,160259,1.0,1.0,664.0,170790.0,41,22,2019,2.0,3.0,40100.0
165,2021-01-13,1279924,357990.62,84526,2.0,2.0,1150.0,149391.0,38,24,2019,4.0,1.0,6200.0
173,2021-01-13,1278112,627944.96,523345,2.0,2.0,1119.0,582425.0,38,32,2019,5.0,1.0,475100.0
185,2021-01-12,1279700,59531.03,114000,2.0,2.0,1405.0,167102.0,41,28,2019,4.0,1.0,100.0
186,2021-01-12,1278123,152258.82,76093,2.0,1.0,840.0,177801.0,41,29,2019,8.0,2.0,35100.0
195,2021-01-12,1278725,358365.45,178000,2.0,2.0,960.0,231028.0,41,11,2018,9.0,2.0,175100.0
196,2021-01-12,1279023,310098.1,128392,2.0,2.0,1143.0,247086.0,41,24,2019,4.0,2.0,161400.0
197,2021-01-12,1280851,1590667.72,955500,4.0,4.0,1871.0,350918.0,41,39,2020,5.0,1.0,12100.0
208,2021-01-12,1277092,367285.94,322000,2.0,1.0,988.0,328275.0,41,35,2019,4.0,1.0,265100.0
222,2021-01-11,1278043,303475.41,104927,0.0,1.0,540.0,216376.0,59,9,2016,4.0,2.0,150100.0
224,2021-01-11,1272001,621241.69,276200,2.0,2.0,1175.0,324968.0,59,18,2018,5.0,2.0,100.0
258,2021-01-11,1278121,98747.04,27003,2.0,2.0,895.0,129682.0,59,11,2016,5.0,6.0,13100.0
261,2021-01-11,1276333,202678.78,211500,1.0,1.0,692.0,304934.0,59,55,2020,3.0,1.0,1600.0
273,2021-01-06,1274203,204168.74,90000,2.0,1.0,1181.0,135386.0,75,54,2019,3.0,1.0,68300.0
275,2021-01-06,1279217,702186.27,258445,2.0,2.0,942.0,352724.0,75,17,2017,16.0,1.0,260300.0
283,2021-01-06,1276188,190403.21,179100,1.0,1.0,692.0,866381.0,75,74,2020,3.0,1.0,101100.0
292,2021-01-06,1276368,380090.12,195810,3.0,2.0,1109.0,249806.0,75,27,2018,6.0,3.0,220100.0
315,2021-01-06,1275433,543494.04,206000,3.0,2.0,1420.0,283469.0,75,58,2019,4.0,1.0,122700.0
