,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Sold Amount
232,2021-01-11,1280239,100859.28,59297,2.0,1.0,930.0,59,15,2017,2.0,1.0,10200.0
247,2021-01-11,1278466,375198.67,204578,3.0,2.0,1582.0,59,35,2019,8.0,1.0,211600.0
329,2021-01-06,1278567,90576.03,84244,4.0,3.0,1660.0,75,15,2016,1.0,2.0,90600.0
728,2020-10-27,1272983,273208.71,168105,0.0,1.0,638.0,15,4,2015,6.0,2.0,170100.0
746,2020-10-26,1271440,178607.12,84244,4.0,3.0,1660.0,16,5,2016,1.0,1.0,30100.0
2457,2020-02-18,1249470,259341.8,175100,0.0,0.0,1540.0,99,55,2018,4.0,3.0,1900.0
2806,2020-01-22,1244127,109717.1,2067400,2.0,3.0,2942.0,32,8,2017,5.0,1.0,10700.0
3001,2020-01-13,1245923,305701.84,142804,3.0,2.0,1419.0,72,29,2018,4.0,1.0,136800.0
3328,2020-01-06,1241745,194954.76,116390,2.0,2.0,750.0,211,80,2017,11.0,1.0,142900.0
3378,2020-01-06,1240404,285847.65,171000,2.0,2.0,926.0,211,186,2019,7.0,1.0,171100.0
3633,2019-12-09,1227382,320694.16,156798,2.0,2.0,1296.0,88,12,2016,2.0,1.0,173400.0
3742,2019-12-02,1238881,155217.24,68801,1.0,1.0,909.0,75,59,2019,4.0,1.0,4100.0
4148,2019-11-06,1235650,340895.12,225100,4.0,3.0,1464.0,40,36,2019,4.0,1.0,210300.0
4357,2019-10-28,1229783,374741.75,202500,2.0,2.0,1136.0,58,34,2018,3.5,1.0,120800.0
6062,2019-07-10,1215436,258051.64,103000,3.0,2.0,1024.0,40,29,2018,2.0,2.0,87800.0
6067,2019-07-10,1216433,896741.32,492000,1.0,1.0,851.0,40,2,2012,6.0,2.0,450100.0
6073,2019-07-10,1202605,218672.83,83904,1.0,1.0,612.0,40,20,2018,4.0,1.0,82800.0
6100,2019-07-08,1197574,978014.57,529738,3.0,2.0,1191.0,75,42,2018,5.0,1.0,396600.0
