,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
18,2021-02-10,1282588,240764.72,156893,2.0,1.0,900.0,0.0,229928.0,23,19,2020,1.0,2.0,0.0,160100.00
20,2021-02-10,1280855,666665.96,548728,3.0,2.0,2053.0,6000.0,915938.0,23,22,2020,0.0,2.0,0.0,605200.00
59,2021-02-03,1280752,375534.49,381600,3.0,3.0,1825.0,0.0,498240.0,19,18,2020,1.0,6.0,0.0,100100.00
60,2021-02-03,1280967,610253.03,214265,4.0,3.0,2282.0,8785.0,515345.0,19,19,2020,0.0,2.0,0.0,400100.00
67,2021-01-20,1274082,312265.57,353375,2.0,2.0,1422.0,16250.0,381147.0,37,1,2007,0.0,10.0,3.0,292200.0
73,2021-01-20,1278911,584960.91,102287,2.0,1.0,1098.0,7860.0,257978.0,37,14,2018,0.0,10.0,2.0,100100.0
74,2021-01-20,1280182,477116.59,354197,2.0,2.0,1088.0,0.0,413116.0,37,34,2020,1.0,2.0,1.0,300100.0
75,2021-01-20,1279509,1146160.78,674925,4.0,3.0,2736.0,45738.0,997086.0,37,7,2016,0.0,7.0,5.0,662100.0
78,2021-01-20,1279213,1635728.88,898012,4.0,4.0,3764.0,435600.0,1553264.0,37,10,2017,0.0,5.0,5.0,700100.0
82,2021-01-20,1279337,178077.41,702298,4.0,3.0,2426.0,15146.0,928666.0,37,20,2019,0.0,1.0,2.0,169100.0
86,2021-01-20,1279794,216647.9,65965,2.0,1.0,1392.0,5040.0,173063.0,37,21,2019,0.0,1.0,2.0,1100.0
92,2021-01-20,1276323,540474.09,265640,2.0,2.0,1212.0,0.0,370968.0,37,27,2019,1.0,4.0,1.0,125100.0
93,2021-01-20,1280270,146218.83,93380,1.0,1.0,676.0,0.0,154525.0,37,28,2019,1.0,10.0,1.0,120000.0
98,2021-01-20,1274082,312265.57,353375,2.0,2.0,1422.0,16250.0,381147.0,37,1,2007,0.0,10.0,3.0,292200.0
116,2021-01-19,1280508,430726.23,175401,2.0,1.0,1270.0,7586.0,448514.0,41,3,2011,0.0,3.0,7.0,365800.0
119,2021-01-19,1279800,315627.0,259477,3.0,2.0,1526.0,4750.0,376891.0,41,20,2018,0.0,9.0,1.0,120100.0
120,2021-01-19,1276925,190303.21,188300,1.0,1.0,709.0,0.0,866381.0,41,40,2020,1.0,3.0,1.0,91800.0
123,2021-01-19,1280883,305560.53,190185,1.0,1.0,500.0,0.0,228533.0,41,10,2018,1.0,3.0,1.0,171300.0
124,2021-01-19,1274163,61071.39,160259,1.0,1.0,664.0,0.0,170790.0,41,22,2019,1.0,2.0,3.0,40100.0
141,2021-01-19,1280508,430726.23,175401,2.0,1.0,1270.0,7586.0,448514.0,41,3,2011,0.0,3.0,7.0,365800.0
