,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
16,2021-02-10,1282591,13369.40,128824,4.0,3.0,1860.0,2054.0,215678.0,23,17,2020,1.0,2.0,0.0,55100.00
20,2021-02-10,1280855,666665.96,548728,3.0,2.0,2053.0,6000.0,915938.0,23,22,2020,0.0,2.0,0.0,605200.00
37,2021-02-08,1281247,1469908.96,1174289,3.0,2.0,1764.0,8234.0,1616441.0,15,11,2019,1.0,10.0,0.0,1481400.00
43,2021-02-03,1280965,764191.64,373137,3.0,3.0,2246.0,8082.02,573837.0,19,2,2017,0.0,4.0,0.0,452200.00
51,2021-02-03,1276193,628673.35,206135,4.0,1.0,1428.0,9169.4,426254.0,19,10,2019,1.0,7.0,0.0,419100.00
60,2021-02-03,1280967,610253.03,214265,4.0,3.0,2282.0,8785.0,515345.0,19,19,2020,0.0,2.0,0.0,400100.00
63,2021-02-02,1275629,204296.16,114493,2.0,1.0,891.0,7200.0,258762.0,8,3,2017,0.0,6.0,1.0,187100.00
67,2021-01-20,1274082,312265.57,353375,2.0,2.0,1422.0,16250.0,381147.0,37,1,2007,0.0,10.0,3.0,292200.0
73,2021-01-20,1278911,584960.91,102287,2.0,1.0,1098.0,7860.0,257978.0,37,14,2018,0.0,10.0,2.0,100100.0
75,2021-01-20,1279509,1146160.78,674925,4.0,3.0,2736.0,45738.0,997086.0,37,7,2016,0.0,7.0,5.0,662100.0
77,2021-01-20,1280769,304225.75,194177,3.0,2.0,1301.0,4866.0,310316.0,37,30,2019,1.0,4.0,1.0,270100.0
78,2021-01-20,1279213,1635728.88,898012,4.0,4.0,3764.0,435600.0,1553264.0,37,10,2017,0.0,5.0,5.0,700100.0
82,2021-01-20,1279337,178077.41,702298,4.0,3.0,2426.0,15146.0,928666.0,37,20,2019,0.0,1.0,2.0,169100.0
86,2021-01-20,1279794,216647.9,65965,2.0,1.0,1392.0,5040.0,173063.0,37,21,2019,0.0,1.0,2.0,1100.0
90,2021-01-20,1280758,13276.75,247271,3.0,2.0,1464.0,3643.0,349500.0,37,15,2018,1.0,2.0,3.0,90200.0
98,2021-01-20,1274082,312265.57,353375,2.0,2.0,1422.0,16250.0,381147.0,37,1,2007,0.0,10.0,3.0,292200.0
