,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
20,2021-02-10,1280855,666665.96,548728,3.0,2.0,2053.0,6000.0,915938.0,23,22,2020,0.0,2.0,0.0,605200.00
60,2021-02-03,1280967,610253.03,214265,4.0,3.0,2282.0,8785.0,515345.0,19,19,2020,0.0,2.0,0.0,400100.00
67,2021-01-20,1274082,312265.57,353375,2.0,2.0,1422.0,16250.0,381147.0,37,1,2007,0.0,10.0,3.0,292200.0
73,2021-01-20,1278911,584960.91,102287,2.0,1.0,1098.0,7860.0,257978.0,37,14,2018,0.0,10.0,2.0,100100.0
75,2021-01-20,1279509,1146160.78,674925,4.0,3.0,2736.0,45738.0,997086.0,37,7,2016,0.0,7.0,5.0,662100.0
78,2021-01-20,1279213,1635728.88,898012,4.0,4.0,3764.0,435600.0,1553264.0,37,10,2017,0.0,5.0,5.0,700100.0
82,2021-01-20,1279337,178077.41,702298,4.0,3.0,2426.0,15146.0,928666.0,37,20,2019,0.0,1.0,2.0,169100.0
86,2021-01-20,1279794,216647.9,65965,2.0,1.0,1392.0,5040.0,173063.0,37,21,2019,0.0,1.0,2.0,1100.0
98,2021-01-20,1274082,312265.57,353375,2.0,2.0,1422.0,16250.0,381147.0,37,1,2007,0.0,10.0,3.0,292200.0
116,2021-01-19,1280508,430726.23,175401,2.0,1.0,1270.0,7586.0,448514.0,41,3,2011,0.0,3.0,7.0,365800.0
119,2021-01-19,1279800,315627.0,259477,3.0,2.0,1526.0,4750.0,376891.0,41,20,2018,0.0,9.0,1.0,120100.0
141,2021-01-19,1280508,430726.23,175401,2.0,1.0,1270.0,7586.0,448514.0,41,3,2011,0.0,3.0,7.0,365800.0
143,2021-01-19,1276228,470314.51,388163,4.0,2.0,2519.0,4500.0,488214.0,41,13,2018,1.0,4.0,3.0,420200.0
148,2021-01-13,1272419,485091.47,341042,5.0,4.0,3663.0,44649.0,739352.0,38,7,2015,1.0,4.0,9.0,541300.0
150,2021-01-13,1279200,1156745.09,723642,6.0,3.0,2931.0,16800.0,779475.0,38,13,2017,0.0,4.0,3.0,650100.0
151,2021-01-13,1279169,322444.3,205247,3.0,2.0,1897.0,6448.0,291155.0,38,12,2017,1.0,7.0,1.0,215500.0
154,2021-01-13,1279570,398745.6,154741,4.0,2.0,1881.0,3809.0,393463.0,38,17,2018,0.0,4.0,1.0,323100.0
169,2021-01-13,1275592,494176.33,148018,3.0,2.0,1505.0,4646.0,366368.0,38,10,2016,1.0,5.0,2.0,50100.0
170,2021-01-13,1278006,357224.49,210749,4.0,2.0,1946.0,3472.0,334501.0,38,31,2019,1.0,1.0,3.0,311300.0
184,2021-01-12,1279549,595743.8,403978,5.0,4.0,3945.0,7761.0,587610.0,41,27,2019,1.0,4.0,2.0,460200.0
191,2021-01-12,1272005,375624.94,142047,4.0,2.0,2591.0,7950.0,360935.0,41,17,2018,1.0,3.0,3.0,260300.0
192,2021-01-12,1279019,1037122.11,377490,4.0,3.0,2169.0,7255.0,442001.0,41,5,2015,1.0,7.0,2.0,390200.0
219,2021-01-11,1275431,366278.72,233000,3.0,2.0,1758.0,1521.0,309715.0,59,14,2017,1.0,2.0,1.0,260500.0
221,2021-01-11,1277733,341966.65,171249,3.0,2.0,1349.0,6700.0,325323.0,59,7,2015,1.0,6.0,16.0,2400.0
265,2021-01-06,1277548,570191.77,197201,3.0,1.0,2001.0,5650.0,341517.0,75,5,2014,0.0,3.0,1.0,250600.0
267,2021-01-06,1278743,668737.7,198916,2.0,1.0,1546.0,11072.0,447962.0,75,7,2014,0.0,1.0,1.0,180100.0
272,2021-01-06,1278072,767681.99,416244,4.0,3.0,3457.0,5606.72,908719.0,75,29,2018,0.0,2.0,1.0,478100.0
321,2021-01-06,1273997,725404.55,366081,4.0,2.0,2458.0,11629.0,458615.0,75,60,2019,0.0,8.0,1.0,310100.0
328,2021-01-06,1272482,506114.88,332476,4.0,3.0,1985.0,7772.0,502278.0,75,12,2016,1.0,8.0,7.0,417800.0
331,2021-01-06,1278113,501242.11,243971,3.0,2.0,1780.0,4606.0,307070.0,75,3,2012,0.0,7.0,2.0,169100.0
343,2021-01-05,1277728,694073.13,294412,3.0,2.0,1705.0,4700.0,389794.0,27,1,2014,1.0,5.0,2.0,320200.0
350,2021-01-05,1278202,714827.54,733922,4.0,2.0,2539.0,15167.0,1284952.0,27,21,2019,0.0,4.0,1.0,369100.0
355,2021-01-05,1277721,706061.8,371758,5.0,3.0,3435.0,23400.0,372616.0,27,4,2017,0.0,2.0,2.0,656100.0
381,2021-01-04,1271160,545078.46,261850,3.0,2.0,1701.0,4775.0,405066.0,72,26,2018,1.0,7.0,1.0,350100.0
389,2021-01-04,1272589,781276.05,365616,3.0,2.0,1876.0,7500.0,490871.0,72,29,2018,0.0,6.0,2.0,369100.0
390,2021-01-04,1269272,427228.85,247762,3.0,2.0,1344.0,3278.0,350776.0,72,50,2019,0.0,4.0,1.0,240100.0
399,2021-01-04,1278746,707414.23,630538,4.0,4.0,3624.0,4885.0,784562.0,72,65,2020,1.0,8.0,2.0,444200.0
453,2020-12-14,1278442,694264.48,264704,3.0,2.0,1425.0,4413.0,369014.0,14,9,2019,0.0,7.0,1.0,9100.0
460,2020-12-14,1273111,325811.9,106839,2.0,1.0,748.0,5739.2,248396.0,14,8,2019,0.0,1.0,2.0,300600.0
467,2020-12-09,1273825,299146.19,171761,3.0,2.0,2256.0,7822.0,516402.0,5,2,2015,0.0,2.0,3.0,330100.0
