,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Status Binary
2,2021-02-10,1280981,290606.10,264778,290278.00,3.0,2.0,2149.0,5225.0,358913.0,23,3,2016,1.0,3.0,1.0,0.0
9,2021-02-10,1280997,281159.89,295785,281159.89,3.0,3.0,1440.0,7447.44,456146.0,23,10,2018,0.0,2.0,1.0,0.0
13,2021-02-10,1280452,213137.62,145229,175500.00,3.0,2.0,1090.0,0.0,242061.0,23,14,2019,1.0,2.0,1.0,1.0
16,2021-02-10,1282591,13369.40,128824,13369.40,4.0,3.0,1860.0,2054.0,215678.0,23,17,2020,1.0,2.0,0.0,1.0
18,2021-02-10,1282588,240764.72,156893,235000.00,2.0,1.0,900.0,0.0,229928.0,23,19,2020,1.0,2.0,0.0,1.0
19,2021-02-10,1280196,171588.80,230826,173429.59,0.0,1.0,438.0,0.0,282947.0,23,20,2020,1.0,4.0,0.0,1.0
27,2021-02-08,1281154,307512.10,299625,337800.00,3.0,1.0,1912.0,7500.0,402614.0,15,1,2012,0.0,3.0,6.0,0.0
37,2021-02-08,1281247,1469908.96,1174289,1481370.57,3.0,2.0,1764.0,8234.0,1616441.0,15,11,2019,1.0,10.0,0.0,1.0
43,2021-02-03,1280965,764191.64,373137,451950.00,3.0,3.0,2246.0,8082.02,573837.0,19,2,2017,0.0,4.0,0.0,1.0
59,2021-02-03,1280752,375534.49,381600,330018.00,3.0,3.0,1825.0,0.0,498240.0,19,18,2020,1.0,6.0,0.0,1.0
65,2021-02-02,1281021,314474.96,137760,311797.28,3.0,2.0,1292.0,7425.0,440646.0,8,5,2019,1.0,3.0,2.0,0.0
68,2021-01-20,1280513,66371.6,102209,66371.60,2.0,2.0,1213.0,0.0,262743.0,37,2,2012,1.0,4.0,3.0,0.0
73,2021-01-20,1278911,584960.91,102287,584960.91,2.0,1.0,1098.0,7860.0,257978.0,37,14,2018,0.0,10.0,2.0,1.0
74,2021-01-20,1280182,477116.59,354197,439762.51,2.0,2.0,1088.0,0.0,413116.0,37,34,2020,1.0,2.0,1.0,1.0
75,2021-01-20,1279509,1146160.78,674925,712900.00,4.0,3.0,2736.0,45738.0,997086.0,37,7,2016,0.0,7.0,5.0,1.0
78,2021-01-20,1279213,1635728.88,898012,1070100.00,4.0,4.0,3764.0,435600.0,1553264.0,37,10,2017,0.0,5.0,5.0,1.0
81,2021-01-20,1280968,19042.83,133384,19042.83,1.0,1.0,1057.0,0.0,208386.0,37,37,2020,1.0,3.0,1.0,1.0
82,2021-01-20,1279337,178077.41,702298,178077.41,4.0,3.0,2426.0,15146.0,928666.0,37,20,2019,0.0,1.0,2.0,1.0
85,2021-01-20,1280513,66371.6,102209,66371.60,2.0,2.0,1213.0,0.0,262743.0,37,2,2012,1.0,4.0,3.0,0.0
86,2021-01-20,1279794,216647.9,65965,178000.00,2.0,1.0,1392.0,5040.0,173063.0,37,21,2019,0.0,1.0,2.0,1.0
88,2021-01-20,1280767,213729.18,246600,213730.00,3.0,2.0,1520.0,0.0,423778.0,37,23,2019,1.0,3.0,1.0,1.0
92,2021-01-20,1276323,540474.09,265640,305000.00,2.0,2.0,1212.0,0.0,370968.0,37,27,2019,1.0,4.0,1.0,1.0
100,2021-01-20,1280966,10319.29,122000,10600.00,1.0,1.0,730.0,0.0,157977.0,37,36,2020,1.0,1.0,1.0,1.0
101,2021-01-20,1279554,1041834.1,492694,799900.00,5.0,3.0,2268.0,15000.0,1085371.0,37,6,2014,0.0,2.0,6.0,1.0
102,2021-01-20,1279554,1041834.1,492694,799900.00,5.0,3.0,2268.0,15000.0,1085371.0,37,6,2014,0.0,2.0,6.0,1.0
