,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Status Binary
13,2021-02-10,1280452,213137.62,145229,175500.00,3.0,2.0,1090.0,242061.0,23,14,2019,2.0,1.0,1.0
18,2021-02-10,1282588,240764.72,156893,235000.00,2.0,1.0,900.0,229928.0,23,19,2020,2.0,0.0,1.0
19,2021-02-10,1280196,171588.80,230826,173429.59,0.0,1.0,438.0,282947.0,23,20,2020,4.0,0.0,1.0
59,2021-02-03,1280752,375534.49,381600,330018.00,3.0,3.0,1825.0,498240.0,19,18,2020,6.0,0.0,1.0
68,2021-01-20,1280513,66371.6,102209,66371.60,2.0,2.0,1213.0,262743.0,37,2,2012,4.0,3.0,0.0
74,2021-01-20,1280182,477116.59,354197,439762.51,2.0,2.0,1088.0,413116.0,37,34,2020,2.0,1.0,1.0
81,2021-01-20,1280968,19042.83,133384,19042.83,1.0,1.0,1057.0,208386.0,37,37,2020,3.0,1.0,1.0
85,2021-01-20,1280513,66371.6,102209,66371.60,2.0,2.0,1213.0,262743.0,37,2,2012,4.0,3.0,0.0
88,2021-01-20,1280767,213729.18,246600,213730.00,3.0,2.0,1520.0,423778.0,37,23,2019,3.0,1.0,1.0
92,2021-01-20,1276323,540474.09,265640,305000.00,2.0,2.0,1212.0,370968.0,37,27,2019,4.0,1.0,1.0
100,2021-01-20,1280966,10319.29,122000,10600.00,1.0,1.0,730.0,157977.0,37,36,2020,1.0,1.0,1.0
106,2021-01-20,1280966,10319.29,122000,10600.00,1.0,1.0,730.0,157977.0,37,36,2020,1.0,1.0,1.0
109,2021-01-19,1275983,81234.09,235583,83400.00,3.0,2.0,1320.0,350030.0,41,19,2018,2.0,1.0,0.0
120,2021-01-19,1276925,190303.21,188300,197571.23,1.0,1.0,709.0,866381.0,41,40,2020,3.0,1.0,1.0
127,2021-01-19,1281077,23134.21,164800,23134.21,1.0,1.0,667.0,204478.0,41,32,2019,1.0,1.0,0.0
165,2021-01-13,1279924,357990.62,84526,146974.30,2.0,2.0,1150.0,149391.0,38,24,2019,4.0,1.0,1.0
167,2021-01-13,1280854,31932.19,85437,43811.96,3.0,2.0,1715.0,209838.0,38,26,2019,3.0,2.0,1.0
179,2021-01-13,1279550,12750.3,100425,13454.87,1.0,1.0,855.0,139211.0,38,37,2020,1.0,1.0,1.0
182,2021-01-12,1279427,54218.33,322100,56582.37,2.0,2.0,1622.0,457700.0,41,26,2019,1.0,1.0,1.0
185,2021-01-12,1279700,59531.03,114000,59531.03,2.0,2.0,1405.0,167102.0,41,28,2019,4.0,1.0,1.0
186,2021-01-12,1278123,152258.82,76093,156600.00,2.0,1.0,840.0,177801.0,41,29,2019,8.0,2.0,1.0
194,2021-01-12,1279686,460953.09,506700,395000.00,2.0,2.0,1434.0,363471.0,41,40,2020,7.0,1.0,0.0
195,2021-01-12,1278725,358365.45,178000,216000.00,2.0,2.0,960.0,231028.0,41,11,2018,9.0,2.0,1.0
197,2021-01-12,1280851,1590667.72,955500,1500000.00,4.0,4.0,1871.0,350918.0,41,39,2020,5.0,1.0,1.0
203,2021-01-12,1278348,65370.15,310800,69885.18,1.0,1.0,852.0,381160.0,41,19,2018,1.0,2.0,1.0
207,2021-01-12,1278199,559079.39,544350,559079.39,2.0,2.0,1171.0,644858.0,41,34,2019,3.0,3.0,0.0
