,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Status Binary
1,2021-02-10,1279838,89850.96,97018,2.0,1.0,867.0,236701.0,23,2,2014,2.0,1.0,1.0
4,2021-02-10,1281624,544464.74,317949,2.0,2.0,1105.0,402339.0,23,5,2017,4.0,2.0,0.0
7,2021-02-10,1278742,288092.86,96408,2.0,2.0,910.0,158263.0,23,8,2018,4.0,0.0,0.0
11,2021-02-10,1281575,110065.78,93709,1.0,1.0,850.0,158654.0,23,12,2019,2.0,1.0,0.0
13,2021-02-10,1280452,213137.62,145229,3.0,2.0,1090.0,242061.0,23,14,2019,2.0,1.0,1.0
14,2021-02-10,1279809,193014.95,102781,2.0,2.0,1160.0,190532.0,23,15,2019,4.0,3.0,0.0
18,2021-02-10,1282588,240764.72,156893,2.0,1.0,900.0,229928.0,23,19,2020,2.0,0.0,1.0
19,2021-02-10,1280196,171588.80,230826,0.0,1.0,438.0,282947.0,23,20,2020,4.0,0.0,1.0
21,2021-02-10,1282594,18848.55,345275,2.0,2.0,1263.0,442620.0,23,23,2020,1.0,0.0,1.0
25,2021-02-09,1281238,151237.15,128000,1.0,1.0,620.0,170572.0,12,9,2019,6.0,0.0,0.0
36,2021-02-08,1280243,707598.50,196036,2.0,2.0,1250.0,297794.0,15,10,2019,5.0,0.0,0.0
40,2021-02-08,1282177,412854.29,465500,3.0,3.0,1694.0,349254.0,15,14,2020,4.0,0.0,1.0
47,2021-02-03,1279813,111975.40,292864,3.0,2.0,1318.0,390407.0,19,6,2018,2.0,1.0,0.0
48,2021-02-03,1279430,539183.97,202756,2.0,2.0,1120.0,269558.0,19,7,2019,2.0,2.0,0.0
50,2021-02-03,1280255,276490.27,295600,3.0,2.0,1950.0,342195.0,19,9,2019,5.0,2.0,0.0
59,2021-02-03,1280752,375534.49,381600,3.0,3.0,1825.0,498240.0,19,18,2020,6.0,0.0,1.0
68,2021-01-20,1280513,66371.6,102209,2.0,2.0,1213.0,262743.0,37,2,2012,4.0,3.0,0.0
74,2021-01-20,1280182,477116.59,354197,2.0,2.0,1088.0,413116.0,37,34,2020,2.0,1.0,1.0
76,2021-01-20,1280979,463491.63,206000,3.0,2.0,1420.0,334592.0,37,9,2017,8.0,1.0,0.0
79,2021-01-20,1279580,266990.9,242400,1.0,2.0,1206.0,353111.0,37,11,2018,4.0,3.0,0.0
80,2021-01-20,1273463,294426.12,151599,2.0,2.0,1100.0,193170.0,37,18,2019,7.0,1.0,0.0
