,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Status Binary
0,2021-02-10,1281752,312262.08,117918,3.0,2.0,1403.0,3912.0,352047.0,23,1,2008,0.0,4.0,13.0,0.0
2,2021-02-10,1280981,290606.10,264778,3.0,2.0,2149.0,5225.0,358913.0,23,3,2016,1.0,3.0,1.0,0.0
3,2021-02-10,1281625,322912.19,163888,3.0,2.0,1812.0,1540.0,335143.0,23,4,2017,1.0,2.0,7.0,0.0
6,2021-02-10,1280913,325014.47,78867,2.0,1.0,1100.0,5700.0,308023.0,23,7,2018,1.0,2.0,1.0,0.0
8,2021-02-10,1281896,456879.10,266230,2.0,1.0,1752.0,6250.0,425461.0,23,9,2018,1.0,5.0,3.0,0.0
9,2021-02-10,1280997,281159.89,295785,3.0,3.0,1440.0,7447.44,456146.0,23,10,2018,0.0,2.0,1.0,0.0
12,2021-02-10,1279990,184798.57,143043,2.0,1.0,1564.0,4450.0,273014.0,23,13,2019,0.0,4.0,2.0,0.0
15,2021-02-10,1280877,1486234.57,950324,3.0,2.0,2102.0,3847.0,1545471.0,23,16,2019,1.0,3.0,1.0,0.0
16,2021-02-10,1282591,13369.40,128824,4.0,3.0,1860.0,2054.0,215678.0,23,17,2020,1.0,2.0,0.0,1.0
20,2021-02-10,1280855,666665.96,548728,3.0,2.0,2053.0,6000.0,915938.0,23,22,2020,0.0,2.0,0.0,1.0
22,2021-02-09,1279193,343132.54,289809,3.0,1.0,2392.0,7500.0,393536.0,12,1,2007,0.0,8.0,4.0,0.0
23,2021-02-09,1281623,469737.79,386886,4.0,2.0,2605.0,7875.0,535818.0,12,2,2018,1.0,2.0,2.0,0.0
24,2021-02-09,1281234,1132256.75,569571,3.0,2.0,1492.0,6300.0,786798.0,12,7,2019,0.0,6.0,0.0,0.0
27,2021-02-08,1281154,307512.10,299625,3.0,1.0,1912.0,7500.0,402614.0,15,1,2012,0.0,3.0,6.0,0.0
28,2021-02-08,1275081,716093.03,313084,4.0,3.0,2081.0,7480.0,455288.0,15,2,2018,0.0,6.0,0.0,0.0
30,2021-02-08,1279188,405163.38,138116,2.0,1.0,1414.0,12620.8,368128.0,15,4,2018,1.0,5.0,3.0,0.0
31,2021-02-08,1276578,349834.69,139338,3.0,3.0,1775.0,1540.0,354027.0,15,5,2018,1.0,4.0,2.0,0.0
32,2021-02-08,1281630,339634.40,110197,3.0,2.0,2234.0,7600.0,367769.0,15,6,2018,1.0,4.0,1.0,0.0
33,2021-02-08,1278132,516514.86,154449,2.0,1.0,1394.0,7250.0,540434.0,15,7,2019,0.0,4.0,0.0,0.0
37,2021-02-08,1281247,1469908.96,1174289,3.0,2.0,1764.0,8234.0,1616441.0,15,11,2019,1.0,10.0,0.0,1.0
38,2021-02-08,1274217,386640.50,330838,6.0,4.0,2374.0,6750.0,459411.0,15,12,2020,0.0,3.0,0.0,0.0
41,2021-02-08,1279798,210497.00,184916,3.0,2.0,1268.0,3800.0,337312.0,15,15,2020,0.0,2.0,0.0,0.0
42,2021-02-03,1279699,357136.36,111483,3.0,2.0,1606.0,2068.0,292881.0,19,1,2017,1.0,4.0,2.0,0.0
43,2021-02-03,1280965,764191.64,373137,3.0,3.0,2246.0,8082.02,573837.0,19,2,2017,0.0,4.0,0.0,1.0
44,2021-02-03,1281246,648982.25,322231,3.0,2.0,2017.0,9520.0,424644.0,19,3,2018,0.0,3.0,0.0,0.0
