,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Status,Sold Amount,Time Sold,Beds,Bath,Living Area,Lot Size,ZEstimate,Docket Count,Day Count,Place in Line,Court Year,Status Binary,Association Binary,Defendant Count,Previous Auctions
1,2020-12-02,1275051,1081159.96,745300.00,HIDDEN,Sold to Plaintiff,815200.00,09:27 AM,5.0,3.0,2798.0,9000.0,1265349,170.0,5,2,2017,1.0,0.0,4.0,3.0
2,2020-12-02,1273071,546868.87,205000.00,187161.76,Sold to 3rd Party,243700.00,09:22 AM,3.0,2.0,1364.0,0.0,286011,168.0,5,1,2015,1.0,1.0,5.0,2.0
3,2020-12-02,1273072,717276.99,605472.00,HIDDEN,Canceled per Bankruptcy,,,5.0,5.0,3113.0,4006.0,0,70.0,5,4,2019,0.0,1.0,6.0,2.0
4,2020-12-02,1275052,432535.59,279867.00,HIDDEN,Sold to Plaintiff,340900.00,09:31 AM,3.0,2.0,1779.0,7500.0,432479,72.0,5,3,2018,1.0,0.0,4.0,2.0
5,2020-12-01,1276239,275301.69,235770.00,HIDDEN,Canceled per Bankruptcy,,,3.0,2.0,1146.0,2977.0,343142,327.0,18,1,2009,0.0,0.0,8.0,15.0
7,2020-12-01,1276355,311815.78,186032.00,HIDDEN,Sold to Plaintiff,194600.00,09:12 AM,2.0,2.0,1027.0,0.0,0,108.0,18,6,2018,1.0,1.0,5.0,1.0
8,2020-12-01,1275975,543152.84,173219.00,HIDDEN,Canceled per Order,,,4.0,2.0,2185.0,7500.0,434162,124.0,18,7,2018,0.0,0.0,6.0,5.0
9,2020-12-01,1276254,360666.07,140507.00,HIDDEN,Canceled per Bankruptcy,,,4.0,3.0,2482.0,7500.0,428008,145.0,18,2,2014,0.0,1.0,6.0,1.0
10,2020-12-01,1275546,664036.80,149100.00,HIDDEN,Sold to 3rd Party,163300.00,09:35 AM,2.0,2.0,864.0,0.0,205079,83.0,18,10,2018,1.0,1.0,5.0,2.0
11,2020-12-01,1275520,1635728.88,877823.00,1069900.00,Canceled per Bankruptcy,,,4.0,4.0,3764.0,435600.0,1553886,115.0,18,5,2017,0.0,0.0,5.0,4.0
